,date,cust,prod,promo_0,promo_1,demand
61,2019-01-03,札幌市,B,0,0,2
62,2019-01-03,札幌市,C,0,0,0
63,2019-01-03,青森市,A,0,0,3
64,2019-01-03,青森市,B,0,0,17
65,2019-01-03,青森市,C,0,0,3
66,2019-01-03,盛岡市,A,0,0,16
67,2019-01-03,盛岡市,B,0,0,70
68,2019-01-03,盛岡市,C,0,0,14
69,2019-01-03,仙台市,A,0,0,17
70,2019-01-03,仙台市,B,0,0,83
71,2019-01-03,仙台市,C,0,0,18
72,2019-01-03,秋田市,A,0,0,10
73,2019-01-03,秋田市,B,0,0,46
74,2019-01-03,秋田市,C,0,0,9
75,2019-01-03,山形市,A,0,0,11
76,2019-01-03,山形市,B,0,0,49
77,2019-01-03,山形市,C,0,0,9
78,2019-01-03,福島市,A,0,0,96
79,2019-01-03,福島市,B,0,0,443
80,2019-01-03,福島市,C,0,0,89
81,2019-01-03,水戸市,A,0,0,8
82,2019-01-03,水戸市,B,0,0,46
83,2019-01-03,水戸市,C,0,0,9
84,2019-01-03,宇都宮市,A,0,0,52
85,2019-01-03,宇都宮市,B,0,0,244
86,2019-01-03,宇都宮市,C,0,0,49
87,2019-01-03,前橋市,A,0,0,99
88,2019-01-03,前橋市,B,0,0,453
89,2019-01-03,前橋市,C,0,0,89
90,2019-01-04,札幌市,A,0,0,1
91,2019-01-04,札幌市,B,0,0,1
92,2019-01-04,札幌市,C,0,0,1
93,2019-01-04,青森市,A,0,0,2
94,2019-01-04,青森市,B,0,0,11
95,2019-01-04,青森市,C,0,0,2
96,2019-01-04,盛岡市,A,0,0,11
97,2019-01-04,盛岡市,B,0,0,49
98,2019-01-04,盛岡市,C,0,0,8
99,2019-01-04,仙台市,A,0,0,12
100,2019-01-04,仙台市,B,0,0,59
101,2019-01-04,仙台市,C,0,0,9
102,2019-01-04,秋田市,A,0,0,5
103,2019-01-04,秋田市,B,0,0,30
104,2019-01-04,秋田市,C,0,0,5
105,2019-01-04,山形市,A,0,0,7
106,2019-01-04,山形市,B,0,0,34
107,2019-01-04,山形市,C,0,0,7
108,2019-01-04,福島市,A,0,0,67
109,2019-01-04,福島市,B,0,0,305
110,2019-01-04,福島市,C,0,0,60
111,2019-01-04,水戸市,A,0,0,7
112,2019-01-04,水戸市,B,0,0,32
113,2019-01-04,水戸市,C,0,0,6
114,2019-01-04,宇都宮市,A,0,0,37
115,2019-01-04,宇都宮市,B,0,0,168
116,2019-01-04,宇都宮市,C,0,0,36
117,2019-01-04,前橋市,A,0,0,69
118,2019-01-04,前橋市,B,0,0,313
119,2019-01-04,前橋市,C,0,0,64
120,2019-01-05,札幌市,A,0,0,0
121,2019-01-05,札幌市,B,0,0,3
122,2019-01-05,札幌市,C,0,0,0
123,2019-01-05,青森市,A,0,0,3
124,2019-01-05,青森市,B,0,0,18
125,2019-01-05,青森市,C,0,0,3
126,2019-01-05,盛岡市,A,0,0,18
127,2019-01-05,盛岡市,B,0,0,81
128,2019-01-05,盛岡市,C,0,0,17
129,2019-01-05,仙台市,A,0,0,19
130,2019-01-05,仙台市,B,0,0,97
131,2019-01-05,仙台市,C,0,0,18
132,2019-01-05,秋田市,A,0,0,12
133,2019-01-05,秋田市,B,0,0,53
134,2019-01-05,秋田市,C,0,0,11
135,2019-01-05,山形市,A,0,0,12
136,2019-01-05,山形市,B,0,0,56
137,2019-01-05,山形市,C,0,0,10
138,2019-01-05,福島市,A,0,0,109
139,2019-01-05,福島市,B,0,0,512
140,2019-01-05,福島市,C,0,0,103
141,2019-01-05,水戸市,A,0,0,12
142,2019-01-05,水戸市,B,0,0,54
143,2019-01-05,水戸市,C,0,0,10
144,2019-01-05,宇都宮市,A,0,0,60
145,2019-01-05,宇都宮市,B,0,0,281
146,2019-01-05,宇都宮市,C,0,0,58
147,2019-01-05,前橋市,A,0,0,115
148,2019-01-05,前橋市,B,0,0,523
149,2019-01-05,前橋市,C,0,0,105
150,2019-01-06,札幌市,A,0,0,0
151,2019-01-06,札幌市,B,0,0,1
152,2019-01-06,札幌市,C,0,0,0
153,2019-01-06,青森市,A,0,0,1
154,2019-01-06,青森市,B,0,0,1
155,2019-01-06,青森市,C,0,0,1
156,2019-01-06,盛岡市,A,0,0,4
157,2019-01-06,盛岡市,B,0,0,10
158,2019-01-06,盛岡市,C,0,0,0
159,2019-01-06,仙台市,A,0,0,2
160,2019-01-06,仙台市,B,0,0,12
161,2019-01-06,仙台市,C,0,0,2
162,2019-01-06,秋田市,A,0,0,2
163,2019-01-06,秋田市,B,0,0,7
164,2019-01-06,秋田市,C,0,0,2
165,2019-01-06,山形市,A,0,0,2
166,2019-01-06,山形市,B,0,0,7
167,2019-01-06,山形市,C,0,0,2
168,2019-01-06,福島市,A,0,0,14
169,2019-01-06,福島市,B,0,0,68
170,2019-01-06,福島市,C,0,0,13
171,2019-01-06,水戸市,A,0,0,1
172,2019-01-06,水戸市,B,0,0,7
173,2019-01-06,水戸市,C,0,0,3
174,2019-01-06,宇都宮市,A,0,0,8
175,2019-01-06,宇都宮市,B,0,0,35
176,2019-01-06,宇都宮市,C,0,0,6
177,2019-01-06,前橋市,A,0,0,15
178,2019-01-06,前橋市,B,0,0,69
179,2019-01-06,前橋市,C,0,0,13
180,2019-01-07,札幌市,A,0,0,0
181,2019-01-07,札幌市,B,0,0,0
182,2019-01-07,札幌市,C,0,0,0
183,2019-01-07,青森市,A,0,0,0
184,2019-01-07,青森市,B,0,0,1
185,2019-01-07,青森市,C,0,0,0
186,2019-01-07,盛岡市,A,0,0,0
187,2019-01-07,盛岡市,B,0,0,4
188,2019-01-07,盛岡市,C,0,0,2
189,2019-01-07,仙台市,A,0,0,1
190,2019-01-07,仙台市,B,0,0,4
191,2019-01-07,仙台市,C,0,0,0
192,2019-01-07,秋田市,A,0,0,0
193,2019-01-07,秋田市,B,0,0,4
194,2019-01-07,秋田市,C,0,0,0
195,2019-01-07,山形市,A,0,0,0
196,2019-01-07,山形市,B,0,0,4
197,2019-01-07,山形市,C,0,0,0
198,2019-01-07,福島市,A,0,0,8
199,2019-01-07,福島市,B,0,0,34
200,2019-01-07,福島市,C,0,0,6
201,2019-01-07,水戸市,A,0,0,0
202,2019-01-07,水戸市,B,0,0,1
203,2019-01-07,水戸市,C,0,0,1
204,2019-01-07,宇都宮市,A,0,0,4
205,2019-01-07,宇都宮市,B,0,0,18
206,2019-01-07,宇都宮市,C,0,0,4
207,2019-01-07,前橋市,A,0,0,6
208,2019-01-07,前橋市,B,0,0,35
209,2019-01-07,前橋市,C,0,0,8
210,2019-01-08,札幌市,A,0,0,0
211,2019-01-08,札幌市,B,0,0,1
212,2019-01-08,札幌市,C,0,0,1
213,2019-01-08,青森市,A,0,0,1
214,2019-01-08,青森市,B,0,0,14
215,2019-01-08,青森市,C,0,0,2
216,2019-01-08,盛岡市,A,0,0,10
217,2019-01-08,盛岡市,B,0,0,54
218,2019-01-08,盛岡市,C,0,0,9
219,2019-01-08,仙台市,A,0,0,13
220,2019-01-08,仙台市,B,0,0,64
221,2019-01-08,仙台市,C,0,0,13
222,2019-01-08,秋田市,A,0,0,7
223,2019-01-08,秋田市,B,0,0,35
224,2019-01-08,秋田市,C,0,0,7
225,2019-01-08,山形市,A,0,0,5
226,2019-01-08,山形市,B,0,0,36
227,2019-01-08,山形市,C,0,0,6
228,2019-01-08,福島市,A,0,0,73
229,2019-01-08,福島市,B,0,0,341
230,2019-01-08,福島市,C,0,0,70
231,2019-01-08,水戸市,A,0,0,8
232,2019-01-08,水戸市,B,0,0,34
233,2019-01-08,水戸市,C,0,0,6
234,2019-01-08,宇都宮市,A,0,0,40
235,2019-01-08,宇都宮市,B,0,0,188
236,2019-01-08,宇都宮市,C,0,0,38
237,2019-01-08,前橋市,A,0,0,73
238,2019-01-08,前橋市,B,0,0,349
239,2019-01-08,前橋市,C,0,0,70
240,2019-01-09,札幌市,A,1,0,0
241,2019-01-09,札幌市,B,1,0,4
242,2019-01-09,札幌市,C,1,0,0
243,2019-01-09,青森市,A,1,0,4
244,2019-01-09,青森市,B,1,0,16
245,2019-01-09,青森市,C,1,0,5
246,2019-01-09,盛岡市,A,1,0,21
247,2019-01-09,盛岡市,B,1,0,94
248,2019-01-09,盛岡市,C,1,0,20
249,2019-01-09,仙台市,A,1,0,20
250,2019-01-09,仙台市,B,1,0,91
251,2019-01-09,仙台市,C,1,0,19
252,2019-01-09,秋田市,A,1,0,13
253,2019-01-09,秋田市,B,1,0,62
254,2019-01-09,秋田市,C,1,0,13
255,2019-01-09,山形市,A,1,0,14
256,2019-01-09,山形市,B,1,0,57
257,2019-01-09,山形市,C,1,0,11
258,2019-01-09,福島市,A,1,0,121
259,2019-01-09,福島市,B,1,0,557
260,2019-01-09,福島市,C,1,0,111
261,2019-01-09,水戸市,A,1,0,11
262,2019-01-09,水戸市,B,1,0,59
263,2019-01-09,水戸市,C,1,0,12
264,2019-01-09,宇都宮市,A,1,0,52
265,2019-01-09,宇都宮市,B,1,0,238
266,2019-01-09,宇都宮市,C,1,0,48
267,2019-01-09,前橋市,A,1,0,95
268,2019-01-09,前橋市,B,1,0,427
269,2019-01-09,前橋市,C,1,0,86
270,2019-01-10,札幌市,A,0,1,2
271,2019-01-10,札幌市,B,0,1,3
272,2019-01-10,札幌市,C,0,1,0
273,2019-01-10,青森市,A,0,1,6
274,2019-01-10,青森市,B,0,1,20
275,2019-01-10,青森市,C,0,1,3
276,2019-01-10,盛岡市,A,0,1,22
277,2019-01-10,盛岡市,B,0,1,84
278,2019-01-10,盛岡市,C,0,1,14
279,2019-01-10,仙台市,A,0,1,26
280,2019-01-10,仙台市,B,0,1,100
281,2019-01-10,仙台市,C,0,1,19
282,2019-01-10,秋田市,A,0,1,15
283,2019-01-10,秋田市,B,0,1,56
284,2019-01-10,秋田市,C,0,1,9
285,2019-01-10,山形市,A,0,1,16
286,2019-01-10,山形市,B,0,1,58
287,2019-01-10,山形市,C,0,1,9
288,2019-01-10,福島市,A,0,1,138
289,2019-01-10,福島市,B,0,1,528
290,2019-01-10,福島市,C,0,1,97
291,2019-01-10,水戸市,A,0,1,13
292,2019-01-10,水戸市,B,0,1,55
293,2019-01-10,水戸市,C,0,1,8
294,2019-01-10,宇都宮市,A,0,1,74
295,2019-01-10,宇都宮市,B,0,1,288
296,2019-01-10,宇都宮市,C,0,1,52
297,2019-01-10,前橋市,A,0,1,140
298,2019-01-10,前橋市,B,0,1,540
299,2019-01-10,前橋市,C,0,1,101
300,2019-01-11,札幌市,A,0,0,0
301,2019-01-11,札幌市,B,0,0,3
302,2019-01-11,札幌市,C,0,0,2
303,2019-01-11,青森市,A,0,0,3
304,2019-01-11,青森市,B,0,0,11
305,2019-01-11,青森市,C,0,0,4
306,2019-01-11,盛岡市,A,0,0,10
307,2019-01-11,盛岡市,B,0,0,48
308,2019-01-11,盛岡市,C,0,0,9
309,2019-01-11,仙台市,A,0,0,12
310,2019-01-11,仙台市,B,0,0,56
311,2019-01-11,仙台市,C,0,0,12
312,2019-01-11,秋田市,A,0,0,8
313,2019-01-11,秋田市,B,0,0,31
314,2019-01-11,秋田市,C,0,0,6
315,2019-01-11,山形市,A,0,0,8
316,2019-01-11,山形市,B,0,0,34
317,2019-01-11,山形市,C,0,0,4
318,2019-01-11,福島市,A,0,0,67
319,2019-01-11,福島市,B,0,0,307
320,2019-01-11,福島市,C,0,0,61
321,2019-01-11,水戸市,A,0,0,5
322,2019-01-11,水戸市,B,0,0,31
323,2019-01-11,水戸市,C,0,0,6
324,2019-01-11,宇都宮市,A,0,0,37
325,2019-01-11,宇都宮市,B,0,0,168
326,2019-01-11,宇都宮市,C,0,0,33
327,2019-01-11,前橋市,A,0,0,68
328,2019-01-11,前橋市,B,0,0,315
329,2019-01-11,前橋市,C,0,0,64
330,2019-01-12,札幌市,A,0,0,1
331,2019-01-12,札幌市,B,0,0,4
332,2019-01-12,札幌市,C,0,0,2
333,2019-01-12,青森市,A,0,0,2
334,2019-01-12,青森市,B,0,0,20
335,2019-01-12,青森市,C,0,0,3
336,2019-01-12,盛岡市,A,0,0,18
337,2019-01-12,盛岡市,B,0,0,83
338,2019-01-12,盛岡市,C,0,0,15
339,2019-01-12,仙台市,A,0,0,18
340,2019-01-12,仙台市,B,0,0,96
341,2019-01-12,仙台市,C,0,0,18
342,2019-01-12,秋田市,A,0,0,10
343,2019-01-12,秋田市,B,0,0,51
344,2019-01-12,秋田市,C,0,0,9
345,2019-01-12,山形市,A,0,0,9
346,2019-01-12,山形市,B,0,0,56
347,2019-01-12,山形市,C,0,0,13
348,2019-01-12,福島市,A,0,0,111
349,2019-01-12,福島市,B,0,0,510
350,2019-01-12,福島市,C,0,0,103
351,2019-01-12,水戸市,A,0,0,12
352,2019-01-12,水戸市,B,0,0,53
353,2019-01-12,水戸市,C,0,0,10
354,2019-01-12,宇都宮市,A,0,0,60
355,2019-01-12,宇都宮市,B,0,0,281
356,2019-01-12,宇都宮市,C,0,0,56
357,2019-01-12,前橋市,A,0,0,113
358,2019-01-12,前橋市,B,0,0,523
359,2019-01-12,前橋市,C,0,0,105
360,2019-01-13,札幌市,A,0,0,0
361,2019-01-13,札幌市,B,0,0,0
362,2019-01-13,札幌市,C,0,0,0
363,2019-01-13,青森市,A,0,0,0
364,2019-01-13,青森市,B,0,0,2
365,2019-01-13,青森市,C,0,0,0
366,2019-01-13,盛岡市,A,0,0,0
367,2019-01-13,盛岡市,B,0,0,12
368,2019-01-13,盛岡市,C,0,0,1
369,2019-01-13,仙台市,A,0,0,1
370,2019-01-13,仙台市,B,0,0,11
371,2019-01-13,仙台市,C,0,0,2
372,2019-01-13,秋田市,A,0,0,0
373,2019-01-13,秋田市,B,0,0,6
374,2019-01-13,秋田市,C,0,0,2
375,2019-01-13,山形市,A,0,0,0
376,2019-01-13,山形市,B,0,0,8
377,2019-01-13,山形市,C,0,0,1
378,2019-01-13,福島市,A,0,0,15
379,2019-01-13,福島市,B,0,0,68
380,2019-01-13,福島市,C,0,0,15
381,2019-01-13,水戸市,A,0,0,2
382,2019-01-13,水戸市,B,0,0,9
383,2019-01-13,水戸市,C,0,0,2
384,2019-01-13,宇都宮市,A,0,0,9
385,2019-01-13,宇都宮市,B,0,0,37
386,2019-01-13,宇都宮市,C,0,0,9
387,2019-01-13,前橋市,A,0,0,14
388,2019-01-13,前橋市,B,0,0,71
389,2019-01-13,前橋市,C,0,0,15
390,2019-01-14,札幌市,A,0,0,0
391,2019-01-14,札幌市,B,0,0,2
392,2019-01-14,札幌市,C,0,0,2
393,2019-01-14,青森市,A,0,0,0
394,2019-01-14,青森市,B,0,0,0
395,2019-01-14,青森市,C,0,0,1
396,2019-01-14,盛岡市,A,0,0,0
397,2019-01-14,盛岡市,B,0,0,6
398,2019-01-14,盛岡市,C,0,0,0
399,2019-01-14,仙台市,A,0,0,1
400,2019-01-14,仙台市,B,0,0,5
401,2019-01-14,仙台市,C,0,0,1
402,2019-01-14,秋田市,A,0,0,2
403,2019-01-14,秋田市,B,0,0,2
404,2019-01-14,秋田市,C,0,0,0
405,2019-01-14,山形市,A,0,0,1
406,2019-01-14,山形市,B,0,0,1
407,2019-01-14,山形市,C,0,0,0
408,2019-01-14,福島市,A,0,0,6
409,2019-01-14,福島市,B,0,0,33
410,2019-01-14,福島市,C,0,0,9
411,2019-01-14,水戸市,A,0,0,1
412,2019-01-14,水戸市,B,0,0,3
413,2019-01-14,水戸市,C,0,0,1
414,2019-01-14,宇都宮市,A,0,0,4
415,2019-01-14,宇都宮市,B,0,0,19
416,2019-01-14,宇都宮市,C,0,0,4
417,2019-01-14,前橋市,A,0,0,8
418,2019-01-14,前橋市,B,0,0,34
419,2019-01-14,前橋市,C,0,0,5
420,2019-01-15,札幌市,A,0,0,0
421,2019-01-15,札幌市,B,0,0,3
422,2019-01-15,札幌市,C,0,0,0
423,2019-01-15,青森市,A,0,0,2
424,2019-01-15,青森市,B,0,0,12
425,2019-01-15,青森市,C,0,0,3
426,2019-01-15,盛岡市,A,0,0,12
427,2019-01-15,盛岡市,B,0,0,55
428,2019-01-15,盛岡市,C,0,0,11
429,2019-01-15,仙台市,A,0,0,13
430,2019-01-15,仙台市,B,0,0,65
431,2019-01-15,仙台市,C,0,0,11
432,2019-01-15,秋田市,A,0,0,8
433,2019-01-15,秋田市,B,0,0,35
434,2019-01-15,秋田市,C,0,0,8
435,2019-01-15,山形市,A,0,0,8
436,2019-01-15,山形市,B,0,0,36
437,2019-01-15,山形市,C,0,0,6
438,2019-01-15,福島市,A,0,0,74
439,2019-01-15,福島市,B,0,0,341
440,2019-01-15,福島市,C,0,0,68
441,2019-01-15,水戸市,A,0,0,9
442,2019-01-15,水戸市,B,0,0,34
443,2019-01-15,水戸市,C,0,0,7
444,2019-01-15,宇都宮市,A,0,0,40
445,2019-01-15,宇都宮市,B,0,0,186
446,2019-01-15,宇都宮市,C,0,0,39
447,2019-01-15,前橋市,A,0,0,77
448,2019-01-15,前橋市,B,0,0,348
449,2019-01-15,前橋市,C,0,0,71
450,2019-01-16,札幌市,A,1,0,0
451,2019-01-16,札幌市,B,1,0,5
452,2019-01-16,札幌市,C,1,0,0
453,2019-01-16,青森市,A,1,0,3
454,2019-01-16,青森市,B,1,0,18
455,2019-01-16,青森市,C,1,0,3
456,2019-01-16,盛岡市,A,1,0,17
457,2019-01-16,盛岡市,B,1,0,92
458,2019-01-16,盛岡市,C,1,0,17
459,2019-01-16,仙台市,A,1,0,18
460,2019-01-16,仙台市,B,1,0,91
461,2019-01-16,仙台市,C,1,0,17
462,2019-01-16,秋田市,A,1,0,14
463,2019-01-16,秋田市,B,1,0,64
464,2019-01-16,秋田市,C,1,0,11
465,2019-01-16,山形市,A,1,0,12
466,2019-01-16,山形市,B,1,0,61
467,2019-01-16,山形市,C,1,0,11
468,2019-01-16,福島市,A,1,0,122
469,2019-01-16,福島市,B,1,0,556
470,2019-01-16,福島市,C,1,0,111
471,2019-01-16,水戸市,A,1,0,13
472,2019-01-16,水戸市,B,1,0,58
473,2019-01-16,水戸市,C,1,0,13
474,2019-01-16,宇都宮市,A,1,0,51
475,2019-01-16,宇都宮市,B,1,0,238
476,2019-01-16,宇都宮市,C,1,0,49
477,2019-01-16,前橋市,A,1,0,92
478,2019-01-16,前橋市,B,1,0,425
479,2019-01-16,前橋市,C,1,0,84
480,2019-01-17,札幌市,A,0,0,0
481,2019-01-17,札幌市,B,0,0,0
482,2019-01-17,札幌市,C,0,0,3
483,2019-01-17,青森市,A,0,0,4
484,2019-01-17,青森市,B,0,0,16
485,2019-01-17,青森市,C,0,0,6
486,2019-01-17,盛岡市,A,0,0,15
487,2019-01-17,盛岡市,B,0,0,71
488,2019-01-17,盛岡市,C,0,0,14
489,2019-01-17,仙台市,A,0,0,17
490,2019-01-17,仙台市,B,0,0,84
491,2019-01-17,仙台市,C,0,0,16
492,2019-01-17,秋田市,A,0,0,9
493,2019-01-17,秋田市,B,0,0,46
494,2019-01-17,秋田市,C,0,0,10
495,2019-01-17,山形市,A,0,0,11
496,2019-01-17,山形市,B,0,0,50
497,2019-01-17,山形市,C,0,0,9
498,2019-01-17,福島市,A,0,0,97
499,2019-01-17,福島市,B,0,0,442
500,2019-01-17,福島市,C,0,0,89
501,2019-01-17,水戸市,A,0,0,9
502,2019-01-17,水戸市,B,0,0,45
503,2019-01-17,水戸市,C,0,0,9
504,2019-01-17,宇都宮市,A,0,0,53
505,2019-01-17,宇都宮市,B,0,0,244
506,2019-01-17,宇都宮市,C,0,0,49
507,2019-01-17,前橋市,A,0,0,99
508,2019-01-17,前橋市,B,0,0,453
509,2019-01-17,前橋市,C,0,0,91
510,2019-01-18,札幌市,A,0,0,1
511,2019-01-18,札幌市,B,0,0,2
512,2019-01-18,札幌市,C,0,0,1
513,2019-01-18,青森市,A,0,0,3
514,2019-01-18,青森市,B,0,0,11
515,2019-01-18,青森市,C,0,0,2
516,2019-01-18,盛岡市,A,0,0,10
517,2019-01-18,盛岡市,B,0,0,48
518,2019-01-18,盛岡市,C,0,0,9
519,2019-01-18,仙台市,A,0,0,13
520,2019-01-18,仙台市,B,0,0,58
521,2019-01-18,仙台市,C,0,0,12
522,2019-01-18,秋田市,A,0,0,8
523,2019-01-18,秋田市,B,0,0,32
524,2019-01-18,秋田市,C,0,0,7
525,2019-01-18,山形市,A,0,0,6
526,2019-01-18,山形市,B,0,0,32
527,2019-01-18,山形市,C,0,0,7
528,2019-01-18,福島市,A,0,0,67
529,2019-01-18,福島市,B,0,0,307
530,2019-01-18,福島市,C,0,0,62
531,2019-01-18,水戸市,A,0,0,3
532,2019-01-18,水戸市,B,0,0,31
533,2019-01-18,水戸市,C,0,0,6
534,2019-01-18,宇都宮市,A,0,0,36
535,2019-01-18,宇都宮市,B,0,0,167
536,2019-01-18,宇都宮市,C,0,0,33
537,2019-01-18,前橋市,A,0,0,69
538,2019-01-18,前橋市,B,0,0,313
539,2019-01-18,前橋市,C,0,0,65
540,2019-01-19,札幌市,A,0,0,0
541,2019-01-19,札幌市,B,0,0,2
542,2019-01-19,札幌市,C,0,0,0
543,2019-01-19,青森市,A,0,0,3
544,2019-01-19,青森市,B,0,0,18
545,2019-01-19,青森市,C,0,0,2
546,2019-01-19,盛岡市,A,0,0,18
547,2019-01-19,盛岡市,B,0,0,81
548,2019-01-19,盛岡市,C,0,0,18
549,2019-01-19,仙台市,A,0,0,20
550,2019-01-19,仙台市,B,0,0,96
551,2019-01-19,仙台市,C,0,0,20
552,2019-01-19,秋田市,A,0,0,12
553,2019-01-19,秋田市,B,0,0,53
554,2019-01-19,秋田市,C,0,0,11
555,2019-01-19,山形市,A,0,0,11
556,2019-01-19,山形市,B,0,0,53
557,2019-01-19,山形市,C,0,0,10
558,2019-01-19,福島市,A,0,0,113
559,2019-01-19,福島市,B,0,0,513
560,2019-01-19,福島市,C,0,0,103
561,2019-01-19,水戸市,A,0,0,11
562,2019-01-19,水戸市,B,0,0,53
563,2019-01-19,水戸市,C,0,0,8
564,2019-01-19,宇都宮市,A,0,0,60
565,2019-01-19,宇都宮市,B,0,0,281
566,2019-01-19,宇都宮市,C,0,0,56
567,2019-01-19,前橋市,A,0,0,114
568,2019-01-19,前橋市,B,0,0,523
569,2019-01-19,前橋市,C,0,0,107
570,2019-01-20,札幌市,A,0,1,0
571,2019-01-20,札幌市,B,0,1,0
572,2019-01-20,札幌市,C,0,1,0
573,2019-01-20,青森市,A,0,1,2
574,2019-01-20,青森市,B,0,1,3
575,2019-01-20,青森市,C,0,1,0
576,2019-01-20,盛岡市,A,0,1,3
577,2019-01-20,盛岡市,B,0,1,12
578,2019-01-20,盛岡市,C,0,1,2
579,2019-01-20,仙台市,A,0,1,2
580,2019-01-20,仙台市,B,0,1,14
581,2019-01-20,仙台市,C,0,1,2
582,2019-01-20,秋田市,A,0,1,1
583,2019-01-20,秋田市,B,0,1,6
584,2019-01-20,秋田市,C,0,1,0
585,2019-01-20,山形市,A,0,1,2
586,2019-01-20,山形市,B,0,1,8
587,2019-01-20,山形市,C,0,1,3
588,2019-01-20,福島市,A,0,1,21
589,2019-01-20,福島市,B,0,1,81
590,2019-01-20,福島市,C,0,1,15
591,2019-01-20,水戸市,A,0,1,3
592,2019-01-20,水戸市,B,0,1,8
593,2019-01-20,水戸市,C,0,1,0
594,2019-01-20,宇都宮市,A,0,1,11
595,2019-01-20,宇都宮市,B,0,1,45
596,2019-01-20,宇都宮市,C,0,1,7
597,2019-01-20,前橋市,A,0,1,21
598,2019-01-20,前橋市,B,0,1,82
599,2019-01-20,前橋市,C,0,1,15
600,2019-01-21,札幌市,A,0,0,0
601,2019-01-21,札幌市,B,0,0,0
602,2019-01-21,札幌市,C,0,0,0
603,2019-01-21,青森市,A,0,0,0
604,2019-01-21,青森市,B,0,0,1
605,2019-01-21,青森市,C,0,0,0
606,2019-01-21,盛岡市,A,0,0,0
607,2019-01-21,盛岡市,B,0,0,5
608,2019-01-21,盛岡市,C,0,0,1
609,2019-01-21,仙台市,A,0,0,0
610,2019-01-21,仙台市,B,0,0,6
611,2019-01-21,仙台市,C,0,0,1
612,2019-01-21,秋田市,A,0,0,1
613,2019-01-21,秋田市,B,0,0,2
614,2019-01-21,秋田市,C,0,0,0
615,2019-01-21,山形市,A,0,0,0
616,2019-01-21,山形市,B,0,0,2
617,2019-01-21,山形市,C,0,0,2
618,2019-01-21,福島市,A,0,0,6
619,2019-01-21,福島市,B,0,0,33
620,2019-01-21,福島市,C,0,0,6
621,2019-01-21,水戸市,A,0,0,1
622,2019-01-21,水戸市,B,0,0,3
623,2019-01-21,水戸市,C,0,0,0
624,2019-01-21,宇都宮市,A,0,0,5
625,2019-01-21,宇都宮市,B,0,0,18
626,2019-01-21,宇都宮市,C,0,0,3
627,2019-01-21,前橋市,A,0,0,7
628,2019-01-21,前橋市,B,0,0,36
629,2019-01-21,前橋市,C,0,0,6
630,2019-01-22,札幌市,A,0,0,0
631,2019-01-22,札幌市,B,0,0,2
632,2019-01-22,札幌市,C,0,0,0
633,2019-01-22,青森市,A,0,0,2
