index,date,cust,prod,demand,sales
113,2019-01-01,千葉市,D,1,1
114,2019-01-01,千葉市,E,101,101
115,2019-01-01,千葉市,F,16,16
116,2019-01-01,千葉市,G,21,21
117,2019-01-01,千葉市,H,49,49
118,2019-01-01,千葉市,I,3,3
119,2019-01-01,千葉市,J,66,66
120,2019-01-01,新宿区,A,3,3
121,2019-01-01,新宿区,B,5,5
122,2019-01-01,新宿区,C,1,1
123,2019-01-01,新宿区,D,0,0
124,2019-01-01,新宿区,E,15,15
125,2019-01-01,新宿区,F,2,2
126,2019-01-01,新宿区,G,3,3
127,2019-01-01,新宿区,H,6,6
128,2019-01-01,新宿区,I,1,1
129,2019-01-01,新宿区,J,11,11
130,2019-01-01,横浜市,A,59,59
131,2019-01-01,横浜市,B,58,58
132,2019-01-01,横浜市,C,22,22
133,2019-01-01,横浜市,D,4,4
134,2019-01-01,横浜市,E,253,253
135,2019-01-01,横浜市,F,39,39
136,2019-01-01,横浜市,G,51,51
137,2019-01-01,横浜市,H,127,127
138,2019-01-01,横浜市,I,8,8
139,2019-01-01,横浜市,J,173,173
140,2019-01-01,新潟市,A,1,1
141,2019-01-01,新潟市,B,0,0
142,2019-01-01,新潟市,C,0,0
143,2019-01-01,新潟市,D,0,0
144,2019-01-01,新潟市,E,3,3
145,2019-01-01,新潟市,F,1,1
146,2019-01-01,新潟市,G,0,0
147,2019-01-01,新潟市,H,0,0
148,2019-01-01,新潟市,I,0,0
149,2019-01-01,新潟市,J,0,0
150,2019-01-01,富山市,A,22,22
151,2019-01-01,富山市,B,21,21
152,2019-01-01,富山市,C,9,9
153,2019-01-01,富山市,D,2,2
154,2019-01-01,富山市,E,96,96
155,2019-01-01,富山市,F,16,16
156,2019-01-01,富山市,G,19,19
157,2019-01-01,富山市,H,47,47
158,2019-01-01,富山市,I,3,3
159,2019-01-01,富山市,J,67,67
160,2019-01-01,金沢市,A,9,9
161,2019-01-01,金沢市,B,7,7
162,2019-01-01,金沢市,C,3,3
163,2019-01-01,金沢市,D,1,1
164,2019-01-01,金沢市,E,37,37
165,2019-01-01,金沢市,F,6,6
166,2019-01-01,金沢市,G,7,7
167,2019-01-01,金沢市,H,20,20
168,2019-01-01,金沢市,I,2,2
169,2019-01-01,金沢市,J,26,26
170,2019-01-01,福井市,A,16,16
171,2019-01-01,福井市,B,14,14
172,2019-01-01,福井市,C,4,4
173,2019-01-01,福井市,D,2,2
174,2019-01-01,福井市,E,63,63
175,2019-01-01,福井市,F,12,12
176,2019-01-01,福井市,G,13,13
177,2019-01-01,福井市,H,31,31
178,2019-01-01,福井市,I,2,2
179,2019-01-01,福井市,J,43,43
180,2019-01-01,甲府市,A,2,2
181,2019-01-01,甲府市,B,2,2
182,2019-01-01,甲府市,C,1,1
183,2019-01-01,甲府市,D,0,0
184,2019-01-01,甲府市,E,9,9
185,2019-01-01,甲府市,F,1,1
186,2019-01-01,甲府市,G,3,3
187,2019-01-01,甲府市,H,2,2
188,2019-01-01,甲府市,I,0,0
189,2019-01-01,甲府市,J,5,5
190,2019-01-01,長野市,A,2,2
191,2019-01-01,長野市,B,3,3
192,2019-01-01,長野市,C,1,1
193,2019-01-01,長野市,D,1,1
194,2019-01-01,長野市,E,13,13
195,2019-01-01,長野市,F,2,2
196,2019-01-01,長野市,G,4,4
197,2019-01-01,長野市,H,8,8
198,2019-01-01,長野市,I,0,0
199,2019-01-01,長野市,J,10,10
200,2019-01-01,岐阜市,A,37,37
201,2019-01-01,岐阜市,B,39,39
202,2019-01-01,岐阜市,C,14,14
203,2019-01-01,岐阜市,D,1,1
204,2019-01-01,岐阜市,E,163,163
205,2019-01-01,岐阜市,F,26,26
206,2019-01-01,岐阜市,G,35,35
207,2019-01-01,岐阜市,H,83,83
208,2019-01-01,岐阜市,I,5,5
209,2019-01-01,岐阜市,J,112,112
210,2019-01-01,静岡市,A,159,159
211,2019-01-01,静岡市,B,154,154
212,2019-01-01,静岡市,C,60,60
213,2019-01-01,静岡市,D,7,7
214,2019-01-01,静岡市,E,684,684
215,2019-01-01,静岡市,F,104,104
216,2019-01-01,静岡市,G,137,137
217,2019-01-01,静岡市,H,348,348
218,2019-01-01,静岡市,I,23,23
219,2019-01-01,静岡市,J,467,467
220,2019-01-01,名古屋市,A,6,6
221,2019-01-01,名古屋市,B,6,6
222,2019-01-01,名古屋市,C,2,2
223,2019-01-01,名古屋市,D,0,0
224,2019-01-01,名古屋市,E,25,25
225,2019-01-01,名古屋市,F,2,2
226,2019-01-01,名古屋市,G,5,5
227,2019-01-01,名古屋市,H,12,12
228,2019-01-01,名古屋市,I,0,0
229,2019-01-01,名古屋市,J,18,18
230,2019-01-01,津市,A,25,25
231,2019-01-01,津市,B,22,22
232,2019-01-01,津市,C,11,11
233,2019-01-01,津市,D,0,0
234,2019-01-01,津市,E,104,104
235,2019-01-01,津市,F,16,16
236,2019-01-01,津市,G,21,21
237,2019-01-01,津市,H,52,52
238,2019-01-01,津市,I,5,5
239,2019-01-01,津市,J,71,71
240,2019-01-01,大津市,A,59,59
241,2019-01-01,大津市,B,55,55
242,2019-01-01,大津市,C,21,21
243,2019-01-01,大津市,D,4,4
244,2019-01-01,大津市,E,250,250
245,2019-01-01,大津市,F,37,37
246,2019-01-01,大津市,G,50,50
247,2019-01-01,大津市,H,127,127
248,2019-01-01,大津市,I,9,9
249,2019-01-01,大津市,J,171,171
250,2019-01-01,京都市,A,67,67
251,2019-01-01,京都市,B,64,64
252,2019-01-01,京都市,C,26,26
253,2019-01-01,京都市,D,2,2
254,2019-01-01,京都市,E,284,284
255,2019-01-01,京都市,F,45,45
256,2019-01-01,京都市,G,58,58
257,2019-01-01,京都市,H,144,144
258,2019-01-01,京都市,I,9,9
259,2019-01-01,京都市,J,193,193
260,2019-01-01,大阪市,A,2,2
261,2019-01-01,大阪市,B,2,2
262,2019-01-01,大阪市,C,1,1
263,2019-01-01,大阪市,D,0,0
264,2019-01-01,大阪市,E,6,6
265,2019-01-01,大阪市,F,0,0
266,2019-01-01,大阪市,G,1,1
267,2019-01-01,大阪市,H,3,3
268,2019-01-01,大阪市,I,0,0
269,2019-01-01,大阪市,J,5,5
270,2019-01-01,神戸市,A,2,2
271,2019-01-01,神戸市,B,1,1
272,2019-01-01,神戸市,C,0,0
273,2019-01-01,神戸市,D,1,1
274,2019-01-01,神戸市,E,3,3
275,2019-01-01,神戸市,F,0,0
276,2019-01-01,神戸市,G,0,0
277,2019-01-01,神戸市,H,2,2
278,2019-01-01,神戸市,I,1,1
279,2019-01-01,神戸市,J,2,2
280,2019-01-01,奈良市,A,2,2
281,2019-01-01,奈良市,B,2,2
282,2019-01-01,奈良市,C,1,1
283,2019-01-01,奈良市,D,0,0
284,2019-01-01,奈良市,E,11,11
285,2019-01-01,奈良市,F,1,1
286,2019-01-01,奈良市,G,2,2
287,2019-01-01,奈良市,H,6,6
288,2019-01-01,奈良市,I,2,2
289,2019-01-01,奈良市,J,6,6
290,2019-01-01,和歌山市,A,59,59
291,2019-01-01,和歌山市,B,57,57
292,2019-01-01,和歌山市,C,22,22
293,2019-01-01,和歌山市,D,4,4
294,2019-01-01,和歌山市,E,254,254
295,2019-01-01,和歌山市,F,39,39
296,2019-01-01,和歌山市,G,51,51
297,2019-01-01,和歌山市,H,127,127
298,2019-01-01,和歌山市,I,8,8
299,2019-01-01,和歌山市,J,173,173
300,2019-01-01,鳥取市,A,1,1
301,2019-01-01,鳥取市,B,2,2
302,2019-01-01,鳥取市,C,1,1
303,2019-01-01,鳥取市,D,0,0
304,2019-01-01,鳥取市,E,7,7
305,2019-01-01,鳥取市,F,0,0
306,2019-01-01,鳥取市,G,0,0
307,2019-01-01,鳥取市,H,2,2
308,2019-01-01,鳥取市,I,1,1
309,2019-01-01,鳥取市,J,4,4
310,2019-01-01,松江市,A,8,8
311,2019-01-01,松江市,B,9,9
312,2019-01-01,松江市,C,2,2
313,2019-01-01,松江市,D,2,2
314,2019-01-01,松江市,E,39,39
315,2019-01-01,松江市,F,5,5
316,2019-01-01,松江市,G,7,7
317,2019-01-01,松江市,H,21,21
318,2019-01-01,松江市,I,0,0
319,2019-01-01,松江市,J,26,26
320,2019-01-01,岡山市,A,132,132
321,2019-01-01,岡山市,B,128,128
322,2019-01-01,岡山市,C,49,49
323,2019-01-01,岡山市,D,7,7
324,2019-01-01,岡山市,E,562,562
325,2019-01-01,岡山市,F,87,87
326,2019-01-01,岡山市,G,117,117
327,2019-01-01,岡山市,H,287,287
328,2019-01-01,岡山市,I,18,18
329,2019-01-01,岡山市,J,385,385
330,2019-01-01,広島市,A,11,11
331,2019-01-01,広島市,B,13,13
332,2019-01-01,広島市,C,5,5
333,2019-01-01,広島市,D,1,1
334,2019-01-01,広島市,E,58,58
335,2019-01-01,広島市,F,8,8
336,2019-01-01,広島市,G,12,12
337,2019-01-01,広島市,H,29,29
338,2019-01-01,広島市,I,2,2
339,2019-01-01,広島市,J,36,36
340,2019-01-01,山口市,A,24,24
341,2019-01-01,山口市,B,22,22
342,2019-01-01,山口市,C,10,10
343,2019-01-01,山口市,D,1,1
344,2019-01-01,山口市,E,103,103
345,2019-01-01,山口市,F,15,15
346,2019-01-01,山口市,G,21,21
347,2019-01-01,山口市,H,52,52
348,2019-01-01,山口市,I,3,3
349,2019-01-01,山口市,J,70,70
350,2019-01-01,徳島市,A,5,5
351,2019-01-01,徳島市,B,7,7
352,2019-01-01,徳島市,C,2,2
353,2019-01-01,徳島市,D,0,0
354,2019-01-01,徳島市,E,26,26
355,2019-01-01,徳島市,F,2,2
356,2019-01-01,徳島市,G,5,5
357,2019-01-01,徳島市,H,12,12
358,2019-01-01,徳島市,I,0,0
359,2019-01-01,徳島市,J,17,17
360,2019-01-01,高松市,A,23,23
361,2019-01-01,高松市,B,21,21
362,2019-01-01,高松市,C,8,8
363,2019-01-01,高松市,D,1,1
364,2019-01-01,高松市,E,102,102
365,2019-01-01,高松市,F,15,15
366,2019-01-01,高松市,G,19,19
367,2019-01-01,高松市,H,51,51
368,2019-01-01,高松市,I,4,4
369,2019-01-01,高松市,J,68,68
370,2019-01-01,松山市,A,44,44
371,2019-01-01,松山市,B,45,45
372,2019-01-01,松山市,C,17,17
373,2019-01-01,松山市,D,2,2
374,2019-01-01,松山市,E,193,193
375,2019-01-01,松山市,F,29,29
376,2019-01-01,松山市,G,39,39
377,2019-01-01,松山市,H,98,98
378,2019-01-01,松山市,I,6,6
379,2019-01-01,松山市,J,133,133
380,2019-01-01,高知市,A,0,0
381,2019-01-01,高知市,B,0,0
382,2019-01-01,高知市,C,0,0
383,2019-01-01,高知市,D,0,0
384,2019-01-01,高知市,E,0,0
385,2019-01-01,高知市,F,0,0
386,2019-01-01,高知市,G,0,0
387,2019-01-01,高知市,H,0,0
388,2019-01-01,高知市,I,0,0
389,2019-01-01,高知市,J,0,0
390,2019-01-01,福岡市,A,29,29
391,2019-01-01,福岡市,B,28,28
392,2019-01-01,福岡市,C,10,10
393,2019-01-01,福岡市,D,0,0
394,2019-01-01,福岡市,E,130,130
395,2019-01-01,福岡市,F,21,21
396,2019-01-01,福岡市,G,26,26
397,2019-01-01,福岡市,H,66,66
398,2019-01-01,福岡市,I,3,3
399,2019-01-01,福岡市,J,89,89
400,2019-01-01,佐賀市,A,319,319
401,2019-01-01,佐賀市,B,308,308
402,2019-01-01,佐賀市,C,118,118
403,2019-01-01,佐賀市,D,17,17
404,2019-01-01,佐賀市,E,1353,1353
405,2019-01-01,佐賀市,F,209,209
406,2019-01-01,佐賀市,G,276,276
407,2019-01-01,佐賀市,H,688,688
408,2019-01-01,佐賀市,I,46,46
409,2019-01-01,佐賀市,J,924,924
410,2019-01-01,長崎市,A,30,30
411,2019-01-01,長崎市,B,28,28
412,2019-01-01,長崎市,C,10,10
413,2019-01-01,長崎市,D,0,0
414,2019-01-01,長崎市,E,128,128
415,2019-01-01,長崎市,F,21,21
416,2019-01-01,長崎市,G,26,26
417,2019-01-01,長崎市,H,64,64
418,2019-01-01,長崎市,I,5,5
419,2019-01-01,長崎市,J,86,86
420,2019-01-01,熊本市,A,6,6
421,2019-01-01,熊本市,B,4,4
422,2019-01-01,熊本市,C,2,2
423,2019-01-01,熊本市,D,0,0
424,2019-01-01,熊本市,E,22,22
425,2019-01-01,熊本市,F,4,4
426,2019-01-01,熊本市,G,4,4
427,2019-01-01,熊本市,H,10,10
428,2019-01-01,熊本市,I,0,0
429,2019-01-01,熊本市,J,13,13
430,2019-01-01,大分市,A,35,35
431,2019-01-01,大分市,B,36,36
432,2019-01-01,大分市,C,14,14
433,2019-01-01,大分市,D,3,3
434,2019-01-01,大分市,E,157,157
435,2019-01-01,大分市,F,24,24
436,2019-01-01,大分市,G,32,32
437,2019-01-01,大分市,H,77,77
438,2019-01-01,大分市,I,4,4
439,2019-01-01,大分市,J,107,107
440,2019-01-01,宮崎市,A,2,2
441,2019-01-01,宮崎市,B,1,1
442,2019-01-01,宮崎市,C,0,0
443,2019-01-01,宮崎市,D,0,0
444,2019-01-01,宮崎市,E,6,6
445,2019-01-01,宮崎市,F,0,0
446,2019-01-01,宮崎市,G,0,0
447,2019-01-01,宮崎市,H,4,4
448,2019-01-01,宮崎市,I,1,1
449,2019-01-01,宮崎市,J,4,4
450,2019-01-01,鹿児島市,A,10,10
451,2019-01-01,鹿児島市,B,8,8
452,2019-01-01,鹿児島市,C,4,4
453,2019-01-01,鹿児島市,D,1,1
454,2019-01-01,鹿児島市,E,44,44
455,2019-01-01,鹿児島市,F,8,8
456,2019-01-01,鹿児島市,G,9,9
457,2019-01-01,鹿児島市,H,21,21
458,2019-01-01,鹿児島市,I,0,0
459,2019-01-01,鹿児島市,J,28,28
460,2019-01-01,那覇市,A,75,75
461,2019-01-01,那覇市,B,73,73
462,2019-01-01,那覇市,C,28,28
463,2019-01-01,那覇市,D,5,5
464,2019-01-01,那覇市,E,319,319
465,2019-01-01,那覇市,F,49,49
466,2019-01-01,那覇市,G,65,65
467,2019-01-01,那覇市,H,162,162
468,2019-01-01,那覇市,I,9,9
469,2019-01-01,那覇市,J,216,216
470,2019-01-02,札幌市,A,11,11
471,2019-01-02,札幌市,B,10,10
472,2019-01-02,札幌市,C,3,3
473,2019-01-02,札幌市,D,1,1
474,2019-01-02,札幌市,E,46,46
475,2019-01-02,札幌市,F,8,8
476,2019-01-02,札幌市,G,9,9
477,2019-01-02,札幌市,H,25,25
478,2019-01-02,札幌市,I,2,2
479,2019-01-02,札幌市,J,29,29
480,2019-01-02,青森市,A,33,33
481,2019-01-02,青森市,B,31,31
482,2019-01-02,青森市,C,10,10
483,2019-01-02,青森市,D,1,1
484,2019-01-02,青森市,E,138,138
485,2019-01-02,青森市,F,20,20
486,2019-01-02,青森市,G,27,27
487,2019-01-02,青森市,H,71,71
488,2019-01-02,青森市,I,6,6
489,2019-01-02,青森市,J,95,95
490,2019-01-02,盛岡市,A,1,1
491,2019-01-02,盛岡市,B,1,1
492,2019-01-02,盛岡市,C,0,0
493,2019-01-02,盛岡市,D,0,0
494,2019-01-02,盛岡市,E,0,0
495,2019-01-02,盛岡市,F,0,0
496,2019-01-02,盛岡市,G,0,0
497,2019-01-02,盛岡市,H,0,0
498,2019-01-02,盛岡市,I,0,0
499,2019-01-02,盛岡市,J,0,0
500,2019-01-02,仙台市,A,5,5
501,2019-01-02,仙台市,B,6,6
502,2019-01-02,仙台市,C,2,2
503,2019-01-02,仙台市,D,0,0
504,2019-01-02,仙台市,E,28,28
505,2019-01-02,仙台市,F,4,4
506,2019-01-02,仙台市,G,5,5
507,2019-01-02,仙台市,H,15,15
508,2019-01-02,仙台市,I,1,1
509,2019-01-02,仙台市,J,18,18
510,2019-01-02,秋田市,A,1,1
511,2019-01-02,秋田市,B,2,2
512,2019-01-02,秋田市,C,0,0
513,2019-01-02,秋田市,D,0,0
514,2019-01-02,秋田市,E,12,12
515,2019-01-02,秋田市,F,1,1
516,2019-01-02,秋田市,G,0,0
517,2019-01-02,秋田市,H,4,4
518,2019-01-02,秋田市,I,0,0
519,2019-01-02,秋田市,J,7,7
520,2019-01-02,山形市,A,2,2
521,2019-01-02,山形市,B,1,1
522,2019-01-02,山形市,C,1,1
523,2019-01-02,山形市,D,0,0
524,2019-01-02,山形市,E,7,7
525,2019-01-02,山形市,F,0,0
526,2019-01-02,山形市,G,1,1
527,2019-01-02,山形市,H,4,4
528,2019-01-02,山形市,I,0,0
529,2019-01-02,山形市,J,4,4
530,2019-01-02,福島市,A,3,3
531,2019-01-02,福島市,B,3,3
532,2019-01-02,福島市,C,0,0
533,2019-01-02,福島市,D,0,0
534,2019-01-02,福島市,E,14,14
535,2019-01-02,福島市,F,3,3
536,2019-01-02,福島市,G,1,1
537,2019-01-02,福島市,H,7,7
538,2019-01-02,福島市,I,1,1
539,2019-01-02,福島市,J,9,9
540,2019-01-02,水戸市,A,6,6
541,2019-01-02,水戸市,B,8,8
542,2019-01-02,水戸市,C,2,2
543,2019-01-02,水戸市,D,0,0
544,2019-01-02,水戸市,E,34,34
545,2019-01-02,水戸市,F,4,4
546,2019-01-02,水戸市,G,6,6
547,2019-01-02,水戸市,H,16,16
548,2019-01-02,水戸市,I,2,2
549,2019-01-02,水戸市,J,23,23
550,2019-01-02,宇都宮市,A,11,11
551,2019-01-02,宇都宮市,B,8,8
552,2019-01-02,宇都宮市,C,4,4
553,2019-01-02,宇都宮市,D,0,0
554,2019-01-02,宇都宮市,E,42,42
555,2019-01-02,宇都宮市,F,7,7
556,2019-01-02,宇都宮市,G,8,8
557,2019-01-02,宇都宮市,H,19,19
558,2019-01-02,宇都宮市,I,0,0
559,2019-01-02,宇都宮市,J,29,29
560,2019-01-02,前橋市,A,17,17
561,2019-01-02,前橋市,B,15,15
562,2019-01-02,前橋市,C,5,5
563,2019-01-02,前橋市,D,0,0
564,2019-01-02,前橋市,E,69,69
565,2019-01-02,前橋市,F,10,10
566,2019-01-02,前橋市,G,13,13
567,2019-01-02,前橋市,H,36,36
568,2019-01-02,前橋市,I,2,2
569,2019-01-02,前橋市,J,48,48
570,2019-01-02,さいたま市,A,8,8
571,2019-01-02,さいたま市,B,10,10
572,2019-01-02,さいたま市,C,3,3
573,2019-01-02,さいたま市,D,0,0
574,2019-01-02,さいたま市,E,46,46
575,2019-01-02,さいたま市,F,5,5
576,2019-01-02,さいたま市,G,9,9
577,2019-01-02,さいたま市,H,24,24
578,2019-01-02,さいたま市,I,2,2
579,2019-01-02,さいたま市,J,31,31
580,2019-01-02,千葉市,A,30,30
581,2019-01-02,千葉市,B,28,28
582,2019-01-02,千葉市,C,9,9
583,2019-01-02,千葉市,D,1,1
584,2019-01-02,千葉市,E,119,119
585,2019-01-02,千葉市,F,18,18
586,2019-01-02,千葉市,G,25,25
587,2019-01-02,千葉市,H,62,62
588,2019-01-02,千葉市,I,3,3
589,2019-01-02,千葉市,J,80,80
590,2019-01-02,新宿区,A,4,4
591,2019-01-02,新宿区,B,5,5
592,2019-01-02,新宿区,C,1,1
593,2019-01-02,新宿区,D,1,1
594,2019-01-02,新宿区,E,18,18
595,2019-01-02,新宿区,F,4,4
596,2019-01-02,新宿区,G,4,4
597,2019-01-02,新宿区,H,8,8
598,2019-01-02,新宿区,I,1,1
599,2019-01-02,新宿区,J,14,14
600,2019-01-02,横浜市,A,70,70
601,2019-01-02,横浜市,B,67,67
602,2019-01-02,横浜市,C,28,28
603,2019-01-02,横浜市,D,4,4
604,2019-01-02,横浜市,E,303,303
605,2019-01-02,横浜市,F,46,46
606,2019-01-02,横浜市,G,60,60
607,2019-01-02,横浜市,H,155,155
608,2019-01-02,横浜市,I,10,10
609,2019-01-02,横浜市,J,206,206
610,2019-01-02,新潟市,A,0,0
611,2019-01-02,新潟市,B,0,0
612,2019-01-02,新潟市,C,1,1
613,2019-01-02,新潟市,D,0,0
614,2019-01-02,新潟市,E,3,3
615,2019-01-02,新潟市,F,0,0
616,2019-01-02,新潟市,G,0,0
617,2019-01-02,新潟市,H,0,0
618,2019-01-02,新潟市,I,0,0
619,2019-01-02,新潟市,J,1,1
620,2019-01-02,富山市,A,27,27
621,2019-01-02,富山市,B,27,27
622,2019-01-02,富山市,C,8,8
623,2019-01-02,富山市,D,2,2
624,2019-01-02,富山市,E,114,114
625,2019-01-02,富山市,F,19,19
626,2019-01-02,富山市,G,23,23
627,2019-01-02,富山市,H,57,57
628,2019-01-02,富山市,I,4,4
629,2019-01-02,富山市,J,78,78
630,2019-01-02,金沢市,A,10,10
631,2019-01-02,金沢市,B,10,10
632,2019-01-02,金沢市,C,4,4
633,2019-01-02,金沢市,D,0,0
634,2019-01-02,金沢市,E,44,44
635,2019-01-02,金沢市,F,5,5
636,2019-01-02,金沢市,G,9,9
637,2019-01-02,金沢市,H,23,23
638,2019-01-02,金沢市,I,1,1
639,2019-01-02,金沢市,J,29,29
640,2019-01-02,福井市,A,19,19
641,2019-01-02,福井市,B,17,17
642,2019-01-02,福井市,C,5,5
643,2019-01-02,福井市,D,2,2
644,2019-01-02,福井市,E,77,77
645,2019-01-02,福井市,F,12,12
646,2019-01-02,福井市,G,16,16
647,2019-01-02,福井市,H,39,39
648,2019-01-02,福井市,I,1,1
649,2019-01-02,福井市,J,52,52
650,2019-01-02,甲府市,A,3,3
651,2019-01-02,甲府市,B,3,3
652,2019-01-02,甲府市,C,1,1
653,2019-01-02,甲府市,D,0,0
654,2019-01-02,甲府市,E,10,10
655,2019-01-02,甲府市,F,1,1
656,2019-01-02,甲府市,G,2,2
657,2019-01-02,甲府市,H,5,5
658,2019-01-02,甲府市,I,0,0
659,2019-01-02,甲府市,J,6,6
660,2019-01-02,長野市,A,4,4
661,2019-01-02,長野市,B,3,3
662,2019-01-02,長野市,C,2,2
663,2019-01-02,長野市,D,0,0
664,2019-01-02,長野市,E,16,16
665,2019-01-02,長野市,F,3,3
666,2019-01-02,長野市,G,1,1
667,2019-01-02,長野市,H,7,7
668,2019-01-02,長野市,I,0,0
669,2019-01-02,長野市,J,12,12
670,2019-01-02,岐阜市,A,46,46
671,2019-01-02,岐阜市,B,44,44
672,2019-01-02,岐阜市,C,17,17
673,2019-01-02,岐阜市,D,2,2
674,2019-01-02,岐阜市,E,197,197
675,2019-01-02,岐阜市,F,31,31
676,2019-01-02,岐阜市,G,41,41
677,2019-01-02,岐阜市,H,100,100
678,2019-01-02,岐阜市,I,7,7
679,2019-01-02,岐阜市,J,134,134
680,2019-01-02,静岡市,A,193,193
681,2019-01-02,静岡市,B,185,185
682,2019-01-02,静岡市,C,72,72
683,2019-01-02,静岡市,D,9,9
684,2019-01-02,静岡市,E,820,820
685,2019-01-02,静岡市,F,126,126
686,2019-01-02,静岡市,G,168,168
687,2019-01-02,静岡市,H,417,417
688,2019-01-02,静岡市,I,27,27
689,2019-01-02,静岡市,J,559,559
690,2019-01-02,名古屋市,A,6,6
691,2019-01-02,名古屋市,B,5,5
692,2019-01-02,名古屋市,C,1,1
693,2019-01-02,名古屋市,D,0,0
694,2019-01-02,名古屋市,E,30,30
695,2019-01-02,名古屋市,F,3,3
696,2019-01-02,名古屋市,G,4,4
697,2019-01-02,名古屋市,H,13,13
698,2019-01-02,名古屋市,I,0,0
699,2019-01-02,名古屋市,J,20,20
