,prod,cust,demand
170,C,54,9071
171,C,55,50577
172,C,56,6090
173,C,57,19106
174,C,58,177238
175,C,59,73000
176,C,6,30308
177,C,7,1311
178,C,8,5969
179,C,9,5780
180,D,0,398
181,D,1,37383
182,D,10,6063
183,D,11,1569
184,D,12,7643
185,D,13,29920
186,D,14,23019
187,D,15,59853
188,D,16,2063
189,D,17,17525
190,D,18,10904
191,D,19,11968
192,D,2,480
193,D,20,2844
194,D,21,3916
195,D,22,25388
196,D,23,8307
197,D,24,9154
198,D,25,8838
199,D,26,10594
200,D,27,6769
201,D,28,10191
202,D,29,1126
203,D,3,2816
204,D,30,2784
205,D,31,5190
206,D,32,8153
207,D,33,9730
208,D,34,11603
209,D,35,4484
210,D,36,1733
211,D,37,80436
212,D,38,1747
213,D,39,7397
214,D,4,4436
215,D,40,4805
216,D,41,23118
217,D,42,2334
218,D,43,1600
219,D,44,6400
220,D,45,7539
221,D,46,22803
222,D,47,4168
223,D,48,6691
224,D,49,13718
225,D,5,11248
226,D,50,1852
227,D,51,435
228,D,52,6363
229,D,53,2143
230,D,54,4144
231,D,55,22155
232,D,56,2741
233,D,57,8478
234,D,58,78720
235,D,59,32214
236,D,6,12904
237,D,7,688
238,D,8,2741
239,D,9,2618
240,E,0,1077
241,E,1,108473
242,E,10,18339
243,E,11,4195
244,E,12,22731
245,E,13,86762
246,E,14,67353
247,E,15,172207
248,E,16,6107
249,E,17,51160
250,E,18,32540
251,E,19,34362
252,E,2,1235
253,E,20,8434
254,E,21,11679
255,E,22,74291
256,E,23,23511
257,E,24,26799
258,E,25,25628
259,E,26,31372
260,E,27,20785
261,E,28,29501
262,E,29,3260
263,E,3,8293
264,E,30,8561
265,E,31,15185
266,E,32,23963
267,E,33,28760
268,E,34,34073
269,E,35,13875
270,E,36,5090
271,E,37,230159
272,E,38,4915
273,E,39,21695
274,E,4,13498
275,E,40,13023
276,E,41,66369
277,E,42,6941
278,E,43,4817
279,E,44,19222
280,E,45,21291
281,E,46,65767
282,E,47,11556
283,E,48,20400
284,E,49,39763
285,E,5,32033
286,E,50,5783
287,E,51,1280
288,E,52,18460
289,E,53,5925
290,E,54,11700
291,E,55,65104
292,E,56,7877
293,E,57,24651
294,E,58,227327
295,E,59,93828
296,E,6,39317
297,E,7,1723
298,E,8,7905
299,E,9,7495
300,F,0,214
301,F,1,9426
302,F,10,2074
303,F,11,798
304,F,12,2171
305,F,13,7689
306,F,14,7786
307,F,15,15000
308,F,16,800
309,F,17,4553
310,F,18,3367
311,F,19,3699
312,F,2,233
313,F,20,1094
314,F,21,1055
315,F,22,7042
316,F,23,2723
317,F,24,2500
318,F,25,2776
319,F,26,2768
320,F,27,2121
321,F,28,3012
322,F,29,592
323,F,3,828
324,F,30,768
325,F,31,1532
326,F,32,2194
327,F,33,2606
328,F,34,2833
329,F,35,1423
330,F,36,854
331,F,37,20109
332,F,38,839
333,F,39,1756
334,F,4,1214
335,F,40,2064
336,F,41,5710
337,F,42,502
338,F,43,500
339,F,44,1756
340,F,45,2205
341,F,46,7142
342,F,47,1627
343,F,48,2124
344,F,49,3736
345,F,5,3166
346,F,50,575
347,F,51,205
348,F,52,1624
349,F,53,781
350,F,54,1415
351,F,55,5520
352,F,56,953
353,F,57,2963
354,F,58,20546
355,F,59,8472
356,F,6,3428
357,F,7,345
358,F,8,1125
359,F,9,1098
360,G,0,201
361,G,1,1799
362,G,10,1411
363,G,11,673
364,G,12,1050
365,G,13,1989
366,G,14,4631
367,G,15,2222
368,G,16,535
369,G,17,1456
370,G,18,1814
371,G,19,1858
372,G,2,179
373,G,20,797
374,G,21,643
375,G,22,2649
376,G,23,1307
377,G,24,865
378,G,25,1312
379,G,26,997
380,G,27,1165
381,G,28,1555
382,G,29,463
383,G,3,322
384,G,30,442
385,G,31,789
386,G,32,921
387,G,33,857
388,G,34,651
389,G,35,905
390,G,36,651
391,G,37,2203
392,G,38,611
393,G,39,369
394,G,4,527
395,G,40,1570
396,G,41,602
397,G,42,65
398,G,43,341
399,G,44,705
400,G,45,709
401,G,46,3852
402,G,47,994
403,G,48,1221
404,G,49,1205
405,G,5,1626
406,G,50,343
407,G,51,238
408,G,52,507
409,G,53,636
410,G,54,767
411,G,55,1575
412,G,56,676
413,G,57,1860
414,G,58,5529
415,G,59,2901
416,G,6,1567
417,G,7,235
418,G,8,856
419,G,9,839
420,H,0,253
421,H,1,16853
422,H,10,2982
423,H,11,982
424,H,12,3624
425,H,13,13677
426,H,14,11276
427,H,15,27023
428,H,16,1060
429,H,17,7964
430,H,18,5070
431,H,19,5757
432,H,2,247
433,H,20,1497
434,H,21,1779
435,H,22,11947
436,H,23,4067
437,H,24,4227
438,H,25,4345
439,H,26,4769
440,H,27,3051
441,H,28,4892
442,H,29,670
443,H,3,1349
444,H,30,1263
445,H,31,2381
446,H,32,3808
447,H,33,4406
448,H,34,5109
449,H,35,2175
450,H,36,1098
451,H,37,36513
452,H,38,1068
453,H,39,3288
454,H,4,2022
455,H,40,2634
456,H,41,10323
457,H,42,1003
458,H,43,794
459,H,44,2991
460,H,45,3651
461,H,46,11084
462,H,47,2246
463,H,48,3069
464,H,49,6363
465,H,5,5202
466,H,50,873
467,H,51,266
468,H,52,2722
469,H,53,1142
470,H,54,2143
471,H,55,9911
472,H,56,1337
473,H,57,4406
474,H,58,35872
475,H,59,14720
476,H,6,5880
477,H,7,405
478,H,8,1530
479,H,9,1430
480,I,0,2459
481,I,1,218984
482,I,10,38307
483,I,11,8621
484,I,12,46564
485,I,13,175363
486,I,14,138755
487,I,15,346557
488,I,16,12776
489,I,17,104049
490,I,18,67148
491,I,19,69946
492,I,2,2471
493,I,20,17780
494,I,21,24381
495,I,22,151323
496,I,23,47911
497,I,24,54370
498,I,25,52293
499,I,26,63822
500,I,27,42939
501,I,28,60374
502,I,29,6875
503,I,3,16814
504,I,30,17699
505,I,31,30819
506,I,32,48870
507,I,33,58458
508,I,34,69123
509,I,35,28504
510,I,36,10807
511,I,37,461601
512,I,38,10165
513,I,39,43711
514,I,4,28099
515,I,40,26692
516,I,41,133356
517,I,42,14004
518,I,43,10103
519,I,44,39197
520,I,45,42849
521,I,46,134744
522,I,47,23828
523,I,48,42291
524,I,49,80786
525,I,5,65110
526,I,50,11958
527,I,51,2767
528,I,52,37622
529,I,53,12025
530,I,54,23694
531,I,55,131913
532,I,56,16186
533,I,57,50755
534,I,58,459406
535,I,59,190237
536,I,6,80516
537,I,7,3399
538,I,8,16364
539,I,9,15820
540,J,0,255
541,J,1,12516
542,J,10,2461
543,J,11,900
544,J,12,2862
545,J,13,10274
546,J,14,9275
547,J,15,20064
548,J,16,911
549,J,17,6005
550,J,18,4085
551,J,19,4468
552,J,2,233
553,J,20,1276
554,J,21,1327
555,J,22,9237
556,J,23,3178
557,J,24,3213
558,J,25,3385
559,J,26,3614
560,J,27,2529
561,J,28,3819
562,J,29,620
563,J,3,1023
564,J,30,972
565,J,31,2002
566,J,32,2933
567,J,33,3336
568,J,34,3744
569,J,35,1777
570,J,36,950
571,J,37,27053
572,J,38,906
573,J,39,2405
574,J,4,1503
575,J,40,2306
576,J,41,7743
577,J,42,698
578,J,43,617
579,J,44,2276
580,J,45,2844
581,J,46,8706
582,J,47,1819
583,J,48,2511
584,J,49,4834
585,J,5,4121
586,J,50,734
587,J,51,272
588,J,52,2093
589,J,53,899
590,J,54,1704
591,J,55,7289
592,J,56,1149
593,J,57,3412
594,J,58,27205
595,J,59,11050
596,J,6,4462
597,J,7,356
598,J,8,1306
599,J,9,1205
