,Cust,Prod,mean,std,S,cost
19,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｿﾌﾗﾝｱﾛﾏﾘﾂﾁPｶｴｿﾞｳﾘﾖｳ,159.36363636363637,221.70803897345388,596.2456228920576,1292.5954077522701
20,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｸｲ-ﾝｽﾞｼﾙｸ LXﾌﾞ-ｹｱﾛﾏ ｶｴ,32.75,126.76107275191936,289.49035892955584,577.4817596262716
21,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｿﾌﾗﾝAﾅﾁﾕﾗﾙ ｱﾛﾏｿ-ﾌﾟ ｶｴ,949.2857142857143,654.140232790985,2180.419098390841,12676.692840829333
22,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｿﾌﾗﾝAﾅﾁﾕﾗﾙ PS Fｸﾞﾘ-ﾝ ｶｴ,700.0384615384615,373.52874585753165,1392.8427033144987,2729.6641600170046
23,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｶｵﾘｿﾌﾗﾝ ｱﾛﾏｿ-ﾌﾟ ｶｴｿﾞｳ,155.43589743589743,210.21652933054213,665.346570831292,4734.990863171235
24,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｿﾌﾗﾝｱﾛﾏﾘﾂﾁSPﾁｴﾘ-ｶｴ,57.829787234042556,165.60053023819447,460.33956212706335,2755.527857974803
25,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｿﾌﾗﾝAﾅﾁﾕﾗﾙ ﾌﾛ-ﾗﾙｶｴﾄｸﾀﾞｲ,445.1904761904762,238.67410560756818,870.7202393318529,917.2124444227999
26,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｿﾌﾗﾝAﾅﾁﾕﾗﾙPS Fｸﾞﾘ-ﾝﾄｸﾀﾞｲ,142.51923076923077,103.794006095523,344.8100297157327,408.9023725525053
27,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｶｵﾘｿﾌﾗﾝ ﾌﾛ-ﾗﾙｱﾛﾏ ｶｴ,1538.8863636363637,514.0100992541942,2454.2826162946726,3661.7014490819056
28,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ﾌﾝﾜﾘｿﾌﾗﾝｶｴ,417.3009708737864,320.05268668447405,1021.4197039031692,2514.041944121683
29,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｿﾌﾗﾝｱﾛﾏﾘﾂﾁ ﾀﾞｲｱﾅ ｶｴ,202.13846153846154,155.59802747414946,523.3570957596969,998.5927064660018
30,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｿﾌﾗﾝｱﾛﾏﾘﾂﾁSｶｴﾄｸﾀﾞｲ,168.0,136.60412246528216,503.2826798454933,1026.0639329433875
31,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｶｵﾘｿﾌﾗﾝPS Fｸﾞﾘ-ﾝ ｶｴﾄｸﾀﾞｲ,267.06976744186045,148.24310717917075,596.1496609541589,908.8651967628809
32,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｿﾌﾗﾝｱﾛﾏﾘﾂﾁJﾎﾝﾀｲｵﾀﾒｼ,169.12962962962962,247.99947095928783,760.7898678235656,7568.572427240082
33,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｿﾌﾗﾝｱﾛﾏﾘﾂﾁSPﾐﾝﾄｶｴ,117.0,212.81036158984364,500.26082995657555,722.4091593095482
34,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｿﾌﾗﾝAﾅﾁﾕﾗﾙ ﾌﾛ-ﾗﾙｱﾛﾏ ｶｴ,1676.2962962962963,1074.761625692644,3588.03768980027,18326.856117665156
35,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｿﾌﾗﾝｱﾛﾏﾘﾂﾁ ｽｶ-ﾚﾂﾄ ｶｴ,313.31067961165047,276.0876895767142,795.9448118576735,1171.6633825968731
36,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｿﾌﾗﾝAﾅﾁﾕﾗﾙｱﾛﾏｿ-ﾌﾟｶｴﾄｸﾀﾞｲ,227.93617021276594,124.9148238940925,478.8841407491296,688.6479618747611
37,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｿﾌﾗﾝAﾅﾁﾕﾗﾙPS Fｸﾞﾘ-ﾝｶｴｿﾞｳ,108.70370370370371,128.26379512395982,443.71732121379296,1790.2256793186857
38,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｼﾜｽﾂｷﾘｿﾌﾗﾝｶｴ,121.75949367088607,98.47480677295647,342.0980915129308,569.4358642366018
39,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｿﾌﾗﾝｱﾛﾏﾘﾂﾁJｶｴｿﾞｳﾘﾖｳ,112.86,216.6080116410072,685.2306192076618,8376.20930896907
40,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｿﾌﾗﾝAﾅﾁﾕﾗﾙ PS Wﾊ-ﾌﾞﾄｸﾀﾞｲ,197.26415094339623,138.14556856159936,489.1138946255908,771.3767339547807
41,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｶｵﾘｿﾌﾗﾝPS Fｸﾞﾘ-ﾝ ｶｴ,770.9767441860465,383.9764680520392,1452.1965720274668,1990.8888268203202
42,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｿﾌﾗﾝｱﾛﾏﾘﾂﾁCﾎﾝﾀｲｵﾀﾒｼ,109.22222222222223,151.0370631482367,371.0742097501462,397.2429302859993
43,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｿﾌﾗﾝｱﾛﾏﾘﾂﾁCｶｴﾄｸﾀﾞｲ,87.27777777777777,133.4875211420663,366.0584432177427,810.7914137878673
44,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｿﾌﾗﾝAﾅﾁﾕﾗﾙ ﾌﾛ-ﾗﾙｱﾛﾏｶｴｿﾞｳ,197.22222222222223,207.65862024992498,708.9375567457096,5160.122674330151
45,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｶｵﾘｿﾌﾗﾝ ﾌﾛ-ﾗﾙｱﾛﾏ ｶｴｿﾞｳ,260.05128205128204,392.8499076397036,1088.2783963234592,10549.440606036804
46,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｿﾌﾗﾝｱﾛﾏﾘﾂﾁDﾎﾝﾀｲｵﾀﾒｼ,57.94444444444444,92.73972844851548,269.0951074956061,486.58589501554957
47,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｿﾌﾗﾝAﾅﾁﾕﾗﾙ ﾌﾛ-ﾗﾙｱﾛﾏ,57.212765957446805,63.66998343025737,250.94860528403828,623.2775182871461
48,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｶｵﾘｿﾌﾗﾝ ﾌﾛ-ﾗﾙｱﾛﾏ ｶｴﾄｸﾀﾞｲ,548.9565217391304,243.971396913813,1044.8390599802553,1542.3893056553063
49,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｿﾌﾗﾝｱﾛﾏﾘﾂﾁ LEﾌﾞ-ｹ,7.0,,,0.0
50,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｶｵﾘｿﾌﾗﾝPS Wﾊ-ﾌﾞ ｶｴｿﾞｳ,159.84615384615384,248.02371899112035,741.6596235148359,5744.102581063459
51,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｸｲ-ﾝｽﾞｼﾙｸ BRﾛ-ｽﾞｱﾛﾏ,22.458333333333332,94.6563483098853,225.43473026686627,436.94190912107376
52,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｶｵﾘｿﾌﾗﾝPS Fｸﾞﾘ-ﾝ ｶｴｿﾞｳ,147.92307692307693,237.36995160956138,712.3699304121862,5907.548221521894
53,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｿﾌﾗﾝｱﾛﾏﾘﾂﾁ ｼﾞﾕﾘｴﾂﾄ,153.126213592233,191.03370401794726,672.6470918885125,5070.642239523959
54,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｿﾌﾗﾝｱﾛﾏﾘﾂﾁ ｼﾞﾕﾘｴﾂﾄ ｶｴ,832.1067961165048,511.522811340792,1713.0608681621404,2664.2339917889835
55,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｶｵﾘｿﾌﾗﾝPS Wﾊ-ﾌﾞ,57.04347826086956,49.897653706468276,202.35832909876453,374.6010249312845
56,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｿﾌﾗﾝAﾅﾁﾕﾗﾙ PS Wﾊ-ﾌﾞ,49.51020408163265,54.44305987642027,228.35491954439277,510.22504947140834
57,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｿﾌﾗﾝｱﾛﾏﾘﾂﾁDｶｴｿﾞｳﾘﾖｳ,65.91228070175438,120.2442871677953,399.6251767508388,1533.7714831096043
58,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｿﾌﾗﾝAﾅﾁﾕﾗﾙ ｱﾛﾏｿ-ﾌﾟ,17.454545454545453,22.355951858722413,107.0763326881041,154.6605110896078
59,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｿﾌﾗﾝｱﾛﾏﾘﾂﾁ SPｳﾞｱｶﾝｽ ｶｴ,24.0,82.62543774748163,213.23477228334477,425.93117995221985
60,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｶｵﾘｿﾌﾗﾝ ｱﾛﾏｿ-ﾌﾟ ｶｴ,890.452380952381,363.6517499450473,1521.261568361709,1541.512112773466
61,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｿﾌﾗﾝｱﾛﾏﾘﾂﾁ ｽｶ-ﾚﾂﾄ,42.728155339805824,96.15308404858398,417.5511662421916,4531.556674839356
62,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｿﾌﾗﾝｱﾛﾏﾘﾂﾁSPﾁｴﾘ-,20.390243902439025,59.26460918996282,188.93196017698872,432.9011511497994
63,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｿﾌﾗﾝｱﾛﾏﾘﾂﾁ ﾏﾘｱ,33.98765432098765,84.45005829292842,379.43321717098627,3577.2127132135097
64,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｿﾌﾗﾝｱﾛﾏﾘﾂﾁAｶｴｿﾞｳﾘﾖｳ,25.19148936170213,63.35120818238878,303.0898495293103,1758.832719633583
65,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｶｵﾘｿﾌﾗﾝ ｱﾛﾏｿ-ﾌﾟ,27.458333333333332,42.15672800766274,169.115345657088,322.97100970424077
66,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｿﾌﾗﾝｱﾛﾏﾘﾂﾁ ｿﾌｲｱ ｶｴ,183.05555555555554,133.078690662693,454.3295618156656,679.442290396524
67,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｿﾌﾗﾝｱﾛﾏﾘﾂﾁ ｱﾆ- ｶｴ,148.46153846153845,135.89214882898986,530.8889840293714,2390.360465452932
68,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｶｵﾘｿﾌﾗﾝPS Wﾊ-ﾌﾞ ｶｴﾄｸﾀﾞｲ,273.35714285714283,156.19996899355917,619.0032250298484,990.2619902098191
69,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｶｵﾘｿﾌﾗﾝ ﾌﾛ-ﾗﾙｱﾛﾏ,70.6304347826087,68.39894693655003,255.27064167236074,555.7157626463369
70,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｿﾌﾗﾝｱﾛﾏﾘﾂﾁPﾎﾝﾀｲｵﾀﾒｼ,145.33333333333334,219.9124825925077,522.3391518331938,608.2992658364107
71,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｿﾌﾗﾝｱﾛﾏﾘﾂﾁ ﾏﾘｱ ｶｴ,227.04,247.965048042068,676.5981626027454,1429.366232460234
72,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｿﾌﾗﾝｱﾛﾏﾘﾂﾁ SPｳﾞｱｶﾝｽ,24.444444444444443,56.39838453163156,137.8938011438588,176.99981807829363
73,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｿﾌﾗﾝｱﾛﾏﾘﾂﾁCｶｴｿﾞｳﾘﾖｳ,111.27272727272727,145.98156795232123,415.75223661627945,791.270631435012
74,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｿﾌﾗﾝｱﾛﾏﾘﾂﾁMｶｴｿﾞｳﾘﾖｳ,44.494505494505496,105.54055288280566,394.91520664002365,2627.17079105652
75,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｿﾌﾗﾝｱﾛﾏﾘﾂﾁ LEﾌﾞ-ｹ ｶｴ,0.8387096774193549,1.6752467319482307,13.576789007356147,14.764092543207454
76,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｿﾌﾗﾝｱﾛﾏﾘﾂﾁSPﾐﾝﾄ,51.55555555555556,80.38829378571099,211.58868474642307,273.4519911437214
77,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｸｲ-ﾝｽﾞｼﾙｸ BRﾛ-ｽﾞｱﾛﾏ ｶｴ,36.0,126.49488733438649,288.10291965729306,568.2037150608771
78,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｶｵﾘｿﾌﾗﾝPS Wﾊ-ﾌﾞ ｶｴ,864.3720930232558,434.75192834840635,1622.4304859092374,1991.6245303110013
79,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ﾌﾝﾜﾘｿﾌﾗﾝ,6.427184466019417,4.847886019472359,18.892763064815462,17.633652359821856
80,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｿﾌﾗﾝｱﾛﾏﾘﾂﾁ ﾀﾞｲｱﾅ,47.01538461538462,90.14562737379659,340.5942808932601,1513.3565479727306
81,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｿﾌﾗﾝAﾅﾁﾕﾗﾙ PS Fｸﾞﾘ-ﾝ,36.34615384615385,63.55448013870743,231.41651274168777,517.9790890688912
82,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｸｲ-ﾝｽﾞｼﾙｸ LXﾌﾞ-ｹｱﾛﾏ,26.80952380952381,103.27904872122859,242.86422086621764,485.1158478235681
83,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｿﾌﾗﾝｱﾛﾏﾘﾂﾁ ｸﾘｽﾃｲ-ﾇ,56.733333333333334,104.51894337300547,278.6516565654593,536.0270662773219
84,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｶｵﾘｿﾌﾗﾝ ｱﾛﾏｿ-ﾌﾟ ｶｴﾄｸﾀﾞｲ,312.83720930232556,162.02467922431097,696.464963355772,1334.6017094015926
85,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｿﾌﾗﾝｱﾛﾏﾘﾂﾁMﾎﾝﾀｲｵﾀﾒｼ,31.923076923076923,66.75734406359605,168.31037240578817,235.41261515840898
86,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｿﾌﾗﾝｱﾛﾏﾘﾂﾁ ｿﾌｲｱ,116.41176470588235,112.0017069197661,293.45341445683,257.934730070481
87,ｷﾀｶﾝﾄｳ ﾘﾕｳﾂｳｾﾝﾀ-,ｿﾌﾗﾝｱﾛﾏﾘﾂﾁMｶｴﾄｸﾀﾞｲ,320.9384615384615,273.5600297993955,763.1115329296861,735.345206365476
88,ｷﾀｶﾝﾄｳ ﾘﾕｳﾂｳｾﾝﾀ-,ｿﾌﾗﾝｱﾛﾏﾘﾂﾁSﾎﾝﾀｲｵﾀﾒｼ,113.31481481481481,227.4079389990076,668.3595586076218,6431.633930843454
89,ｷﾀｶﾝﾄｳ ﾘﾕｳﾂｳｾﾝﾀ-,ｿﾌﾗﾝｱﾛﾏﾘﾂﾁSｶｴｿﾞｳﾘﾖｳ,223.10679611650485,406.25132066443217,1142.6918418794844,19543.821346195127
90,ｷﾀｶﾝﾄｳ ﾘﾕｳﾂｳｾﾝﾀ-,ｼﾜｽﾂｷﾘｿﾌﾗﾝ,12.524271844660195,13.688298036683095,66.91049693852065,82.57593470618065
91,ｷﾀｶﾝﾄｳ ﾘﾕｳﾂｳｾﾝﾀ-,ｶｵﾘｿﾌﾗﾝPS Fｸﾞﾘ-ﾝ,168.0888888888889,134.14541333639374,461.3454320050499,1086.4893943174188
92,ｷﾀｶﾝﾄｳ ﾘﾕｳﾂｳｾﾝﾀ-,ｿﾌﾗﾝｱﾛﾏﾘﾂﾁ ｸﾘｽﾃｲ-ﾇ ｶｴ,380.0,172.14323721147764,670.2603080656052,501.0445378829862
93,ｷﾀｶﾝﾄｳ ﾘﾕｳﾂｳｾﾝﾀ-,ｿﾌﾗﾝAﾅﾁﾕﾗﾙ ｱﾛﾏｿ-ﾌﾟｶｴｿﾞｳ,293.4166666666667,427.733987760751,1191.9184131385723,12651.282765413353
94,ｷﾀｶﾝﾄｳ ﾘﾕｳﾂｳｾﾝﾀ-,ｿﾌﾗﾝｱﾛﾏﾘﾂﾁPｶｴﾄｸﾀﾞｲ,498.1666666666667,215.68556907193013,899.2297667464626,680.1022985674842
95,ｷﾀｶﾝﾄｳ ﾘﾕｳﾂｳｾﾝﾀ-,ｿﾌﾗﾝAﾅﾁﾕﾗﾙ PS Wﾊ-ﾌﾞ ｶｴ,2437.38,1448.983850700841,4910.441042545275,11313.488288961866
96,ｷﾀｶﾝﾄｳ ﾘﾕｳﾂｳｾﾝﾀ-,ｿﾌﾗﾝｱﾛﾏﾘﾂﾁDｶｴﾄｸﾀﾞｲ,631.5538461538462,342.3394254413862,1280.4033759099107,2556.006833132533
97,ｷﾀｶﾝﾄｳ ﾘﾕｳﾂｳｾﾝﾀ-,ｿﾌﾗﾝｱﾛﾏﾘﾂﾁJｶｴﾄｸﾀﾞｲ,1882.6019417475727,800.8421466916943,3409.3661282333137,15142.911198911183
98,ｷﾀｶﾝﾄｳ ﾘﾕｳﾂｳｾﾝﾀ-,ｿﾌﾗﾝAﾅﾁﾕﾗﾙ PS Wﾊ-ﾌﾞｶｴｿﾞｳ,317.3333333333333,403.1828369362961,1162.8645253893335,11497.552868765415
99,ｷﾀｶﾝﾄｳ ﾘﾕｳﾂｳｾﾝﾀ-,ｿﾌﾗﾝｱﾛﾏﾘﾂﾁPｶｴｿﾞｳﾘﾖｳ,577.4615384615385,687.2443300826636,1812.5741608757112,7099.220096555457
100,ｷﾀｶﾝﾄｳ ﾘﾕｳﾂｳｾﾝﾀ-,ｸｲ-ﾝｽﾞｼﾙｸ LXﾌﾞ-ｹｱﾛﾏ ｶｴ,97.70833333333333,221.41766143896794,514.7988747076304,1172.4450668867505
101,ｷﾀｶﾝﾄｳ ﾘﾕｳﾂｳｾﾝﾀ-,ｿﾌﾗﾝAﾅﾁﾕﾗﾙ ｱﾛﾏｿ-ﾌﾟ ｶｴ,3032.0943396226417,1489.716496830482,5602.715870504044,16262.961399378386
102,ｷﾀｶﾝﾄｳ ﾘﾕｳﾂｳｾﾝﾀ-,ｿﾌﾗﾝAﾅﾁﾕﾗﾙ PS Fｸﾞﾘ-ﾝ ｶｴ,2287.6,1262.6739039653514,4519.0915304317205,19170.14547665548
103,ｷﾀｶﾝﾄｳ ﾘﾕｳﾂｳｾﾝﾀ-,ｶｵﾘｿﾌﾗﾝ ｱﾛﾏｿ-ﾌﾟ ｶｴｿﾞｳ,352.9230769230769,375.093138231264,1154.1419772268853,10390.47442848225
104,ｷﾀｶﾝﾄｳ ﾘﾕｳﾂｳｾﾝﾀ-,ｿﾌﾗﾝｱﾛﾏﾘﾂﾁSPﾁｴﾘ-ｶｴ,66.79310344827586,141.66216838217224,496.23789238997114,5346.888856239755
105,ｷﾀｶﾝﾄｳ ﾘﾕｳﾂｳｾﾝﾀ-,ｿﾌﾗﾝAﾅﾁﾕﾗﾙ ﾌﾛ-ﾗﾙｶｴﾄｸﾀﾞｲ,1591.2439024390244,591.2235102094555,2679.927705395737,5605.962052454895
106,ｷﾀｶﾝﾄｳ ﾘﾕｳﾂｳｾﾝﾀ-,ｿﾌﾗﾝAﾅﾁﾕﾗﾙPS Fｸﾞﾘ-ﾝﾄｸﾀﾞｲ,573.36,306.4179325492474,1174.6786331507033,2544.74781598182
107,ｷﾀｶﾝﾄｳ ﾘﾕｳﾂｳｾﾝﾀ-,ｶｵﾘｿﾌﾗﾝ ﾌﾛ-ﾗﾙｱﾛﾏ ｶｴ,3431.0666666666666,1523.4756673773657,6086.376706728207,20709.54015133322
108,ｷﾀｶﾝﾄｳ ﾘﾕｳﾂｳｾﾝﾀ-,ﾌﾝﾜﾘｿﾌﾗﾝｶｴ,722.7669902912621,438.11150438241793,1528.403761411141,3626.6239180378225
109,ｷﾀｶﾝﾄｳ ﾘﾕｳﾂｳｾﾝﾀ-,ｿﾌﾗﾝｱﾛﾏﾘﾂﾁ ﾀﾞｲｱﾅ ｶｴ,835.7846153846153,529.9196723415874,1779.3641303037891,4170.227792675751
