,name,zip,都道府県,市区町村,大字,location
34,鈴木食品有限会社,2890321,千葉県,香取市,阿玉川,"[140.63096378,35.852885]"
35,有限会社佐藤鉱業,2700214,千葉県,野田市,柏寺,"[139.80564926,36.04882146]"
36,合同会社田中鉱業,2880044,千葉県,銚子市,西芝町,"[140.82724597,35.730376799999995]"
37,宮沢水産株式会社,2860134,千葉県,成田市,東和田,"[140.33162514,35.77569103]"
38,合同会社大垣通信,2900265,千葉県,市原市,今富,"[140.08764437,35.46853781]"
39,田辺鉱業合同会社,2660007,千葉県,千葉市緑区,辺田町,"[140.18340432,35.56614392]"
40,田中鉱業有限会社,2890513,千葉県,旭市,舟戸,"[140.64290751,35.77381425]"
41,有限会社小林情報,2880815,千葉県,銚子市,三崎町,"[140.79758801,35.714245]"
42,株式会社若松銀行,2620001,千葉県,千葉市花見川区,横戸町,"[140.11760661,35.6997521]"
43,合同会社小泉保険,2980025,千葉県,いすみ市,山田,"[140.3190797,35.24339552]"
44,佐藤建設株式会社,2900155,千葉県,市原市,番場,"[140.19160742,35.52330776]"
45,青山運輸合同会社,2870822,千葉県,香取市,佐原ニ,"[140.50105425,35.91180798]"
46,大垣銀行合同会社,2900527,千葉県,市原市,月出,"[140.18532097,35.29795358]"
47,高橋食品有限会社,2701177,千葉県,我孫子市,柴崎,"[140.03374053,35.87685139]"
48,合同会社笹田鉱業,2892311,千葉県,香取郡多古町,本三倉,"[140.49241284,35.79526481]"
49,有限会社小泉電気,2890325,千葉県,香取市,貝塚,"[140.6340397,35.81099614]"
50,合同会社山田水産,2992725,千葉県,南房総市,和田町黒岩,"[139.98866552,35.05673661]"
51,株式会社渡辺運輸,2720000,千葉県,市川市,以下に掲載がない場合,"[139.93100942,35.72191112]"
52,株式会社野村運輸,2995254,千葉県,勝浦市,台宿,"[140.21697003,35.14155967]"
53,近藤銀行合同会社,2891105,千葉県,八街市,泉台,"[140.29553737,35.68176791]"
54,合同会社喜嶋通信,2891116,千葉県,八街市,中央,"[140.31812578,35.6640205]"
55,株式会社山本鉱業,2700171,千葉県,流山市,上貝塚,"[139.90639657,35.8789988]"
56,中村運輸有限会社,2891701,千葉県,山武郡横芝光町,篠本,"[140.4885362,35.70710101]"
57,株式会社山口ガス,2880056,千葉県,銚子市,新生町,"[140.83632496,35.73380678]"
58,山田農林有限会社,2994103,千葉県,茂原市,千沢,"[140.35529215,35.46828804]"
59,株式会社井高銀行,2960021,千葉県,鴨川市,竹平,"[140.07222184,35.1259876]"
60,村山食品有限会社,2660003,千葉県,千葉市緑区,高田町,"[140.22198597,35.56045297]"
61,坂本ガス株式会社,2701369,千葉県,印西市,鹿黒南,"[140.13364199,35.81609448]"
62,株式会社山田ガス,2860046,千葉県,成田市,飯仲,"[140.28696525,35.75384934]"
63,鈴木建設合同会社,2893186,千葉県,匝瑳市,川辺,"[140.5589121,35.65245741]"
64,青田情報株式会社,2891124,千葉県,八街市,山田台,"[140.28889921,35.58083832]"
65,合同会社石田建設,2890617,千葉県,香取郡東庄町,羽計,"[140.68511839,35.82462061]"
66,佐藤農林株式会社,2770844,千葉県,柏市,西町,"[139.95806019,35.86901702]"
67,合同会社井上銀行,2701527,千葉県,印旛郡栄町,押付,"[140.2080409,35.8398464]"
68,合同会社山本建設,2980202,千葉県,夷隅郡大多喜町,下大多喜,"[140.26282343,35.30316878]"
69,有限会社井上情報,2960016,千葉県,鴨川市,坂東,"[140.07015203,35.12059844]"
70,株式会社渡辺建設,2992713,千葉県,南房総市,和田町松田,"[139.98381617,35.02319619]"
71,笹田食品株式会社,2850045,千葉県,佐倉市,白銀,"[140.24898585,35.71171752]"
72,若松保険株式会社,2900006,千葉県,市原市,若宮,"[140.13471405,35.52815935]"
73,有限会社若松ガス,2993266,千葉県,大網白里市,北横川,"[140.34046256,35.51520238]"
74,西之園建設有限会社,2960012,千葉県,鴨川市,来秀,"[140.07903136,35.104985600000006]"
75,株式会社伊藤建設,2892524,千葉県,旭市,神宮寺,"[140.62298394,35.68934158]"
76,笹田情報有限会社,2892164,千葉県,匝瑳市,木積,"[140.51318347,35.71047629]"
77,坂本建設株式会社,2891132,千葉県,八街市,勢田,"[140.2836648,35.63510781]"
78,合同会社山田建設,2890204,千葉県,香取郡神崎町,四季の丘,"[140.4144477,35.88916074]"
79,有限会社中島ガス,2920404,千葉県,君津市,賀恵渕,"[140.04627548,35.32855204]"
80,株式会社木村水産,2770856,千葉県,柏市,新富町,"[139.95378898,35.85324031]"
81,井高水産有限会社,2960044,千葉県,鴨川市,広場,"[140.10788854,35.11673682]"
82,合同会社高橋銀行,2921167,千葉県,君津市,平田,"[139.98298281,35.23489051]"
83,有限会社三宅農林,2920008,千葉県,木更津市,中島,"[139.93119265,35.43066139]"
84,大垣運輸合同会社,2850833,千葉県,佐倉市,羽鳥,"[140.20079361,35.70976207]"
85,小林農林有限会社,2890329,千葉県,香取市,布野,"[140.62871401,35.83356255]"
86,工藤銀行株式会社,2830115,千葉県,山武郡九十九里町,真亀新田,"[140.42851479,35.50805549]"
87,青山食品合同会社,2710085,千葉県,松戸市,二十世紀が丘中松町,"[139.91026183,35.77136583]"
88,山本運輸合同会社,2994347,千葉県,長生郡長生村,小泉,"[140.36988075,35.41964596]"
89,加藤印刷株式会社,2892521,千葉県,旭市,ハ,"[140.65051999,35.71154893]"
90,野村建設株式会社,2970115,千葉県,長生郡長南町,千田,"[140.2316572,35.40580854]"
91,宮沢ガス有限会社,2600023,千葉県,千葉市中央区,出洲港,"[140.11399266,35.5971781]"
92,鈴木印刷有限会社,2700174,千葉県,流山市,下花輪,"[139.9000832,35.87217201]"
93,株式会社中津川印刷,2920516,千葉県,君津市,高水,"[140.08654869,35.23736633]"
94,井高食品株式会社,2860042,千葉県,成田市,南平台,"[140.30550252,35.77110827]"
95,株式会社村山印刷,2770832,千葉県,柏市,北柏,"[139.98806105,35.8716791]"
96,有限会社喜嶋水産,2994115,千葉県,茂原市,榎神房,"[140.29677171,35.49608297]"
97,高橋情報有限会社,2610003,千葉県,千葉市美浜区,高浜,"[140.06749976,35.61994426]"
98,廣川建設有限会社,2900035,千葉県,市原市,松ケ島,"[140.06723556,35.50947385]"
99,株式会社佐藤ガス,2920411,千葉県,君津市,長谷川,"[140.07784329,35.32294822]"
100,山本建設有限会社,2702325,千葉県,印西市,角田,"[140.19301876,35.78914737]"
101,株式会社田中銀行,2730107,千葉県,鎌ケ谷市,新鎌ケ谷,"[140.00063485,35.77997237]"
102,合同会社山田食品,2994300,千葉県,長生郡長生村,以下に掲載がない場合,"[140.3687365,35.37279218]"
103,山岸食品合同会社,2991151,千葉県,君津市,中野,"[139.89030388,35.33003538]"
104,中村銀行合同会社,2700133,千葉県,流山市,十太夫,"[139.93017463,35.87563049]"
105,中島鉱業株式会社,2991901,千葉県,安房郡鋸南町,元名,"[139.83916407,35.15262694]"
106,有限会社藤本水産,2600826,千葉県,千葉市中央区,新浜町,"[140.10917372,35.55824971]"
107,浜田食品有限会社,2880011,千葉県,銚子市,君ケ浜,"[140.86576252,35.7157195]"
108,合同会社石田保険,2890224,千葉県,香取郡神崎町,松崎,"[140.38293553,35.89720388]"
109,中津川建設合同会社,2730035,千葉県,船橋市,本中山,"[139.94436238,35.71031336]"
110,江古田運輸合同会社,2891142,千葉県,八街市,大関,"[140.29786215,35.66903378]"
111,原田印刷合同会社,2760043,千葉県,八千代市,萱田,"[140.10989309,35.73416843]"
112,坂本運輸有限会社,2920403,千葉県,君津市,三田,"[140.07218812,35.334481700000005]"
113,株式会社宇野銀行,2992523,千葉県,南房総市,峰,"[139.96408317,34.99623427]"
114,宇野ガス有限会社,2850815,千葉県,佐倉市,城,"[140.23555625,35.69475044]"
115,株式会社木村通信,2995111,千葉県,夷隅郡御宿町,上布施,"[140.33182286,35.20892922]"
116,株式会社笹田水産,2660011,千葉県,千葉市緑区,鎌取町,"[140.1756464,35.56687007]"
117,中村運輸株式会社,2740813,千葉県,船橋市,南三咲,"[140.02437376,35.73543715]"
118,有限会社桐山ガス,2900551,千葉県,市原市,外部田,"[140.15393822,35.37479189]"
119,合同会社三宅運輸,2992403,千葉県,南房総市,富浦町原岡,"[139.83941956,35.04748564]"
