,name,service,pickup,delivery,time_windows,location,location_index,skills,priority
41,有限会社山本情報 第 4 支店,624,[78],[309],"[[2953, 20953]]","[142.46585738,43.46261875]",41,[0],68
42,株式会社藤原銀行 第 68 支店,713,[70],[364],"[[15092, 33092]]","[140.13213430,41.87602843]",42,[0],3
43,合同会社山本保険 第 29 支店,644,[82],[828],"[[14028, 32028]]","[142.96372363,43.16814593]",43,[0],58
44,加藤建設株式会社 第 98 支店,871,[62],[753],"[[4946, 22946]]","[143.74047012,43.46691192]",44,[0],12
45,佐藤運輸合同会社 第 57 支店,1075,[51],[727],"[[12650, 30650]]","[141.75595754,43.94687518]",45,[0],2
46,田中銀行合同会社 第 64 支店,1099,[80],[531],"[[16489, 34489]]","[141.34128441,43.07325235]",46,[0],76
47,山口食品有限会社 第 71 支店,851,[91],[733],"[[5278, 23278]]","[140.41897959,42.85407296]",47,[0],96
48,合同会社吉田鉱業 第 30 支店,835,[74],[556],"[[8121, 26121]]","[142.61843717,43.70567677]",48,[0],96
49,有限会社山本電気 第 45 支店,686,[68],[642],"[[4433, 22433]]","[141.94362288,42.70511876]",49,[0],61
50,合同会社青木水産 第 30 支店,991,[83],[171],"[[13058, 31058]]","[144.98466111,43.56032632]",50,[0],15
51,株式会社岡本運輸 第 87 支店,653,[52],[487],"[[10333, 28333]]","[141.35212090,43.2494783]",51,[0],100
52,株式会社森運輸 第 29 支店,1031,[94],[554],"[[11428, 29428]]","[141.41456744,43.08826593]",52,[0],74
53,中村銀行合同会社 第 98 支店,1044,[78],[661],"[[12909, 30909]]","[144.41396374,43.01139031]",53,[0],12
54,合同会社伊藤通信 第 59 支店,890,[89],[413],"[[15662, 33662]]","[142.35605806,42.40387268]",54,[0],18
55,株式会社藤井鉱業 第 38 支店,700,[84],[615],"[[6472, 24472]]","[141.44118689,43.01992529]",55,[0],30
56,斎藤運輸有限会社 第 3 支店,1051,[60],[892],"[[6684, 24684]]","[140.99314773,42.73890221]",56,[0],59
57,株式会社遠藤ガス 第 54 支店,829,[82],[597],"[[13954, 31954]]","[140.54369309,41.72116091]",57,[0],5
58,坂本農林有限会社 第 72 支店,766,[91],[143],"[[1763, 19763]]","[141.83670181,42.9879849]",58,[0],16
59,株式会社鈴木銀行 第 83 支店,831,[68],[688],"[[6541, 24541]]","[141.59108551,42.64152736]",59,[0],95
60,村上食品有限会社 第 13 支店,679,[72],[126],"[[13737, 31737]]","[144.20687534,43.18539251]",60,[0],96
61,小林ガス株式会社 第 24 支店,1175,[56],[920],"[[6884, 24884]]","[144.26497080,44.02344791]",61,[0],60
62,株式会社坂本ガス 第 81 支店,687,[52],[436],"[[5138, 23138]]","[144.53044559,43.50152151]",62,[0],43
63,山田建設合同会社 第 93 支店,1016,[57],[721],"[[4321, 22321]]","[140.68141625,41.97783782]",63,[0],31
64,佐藤情報株式会社 第 38 支店,924,[89],[983],"[[7078, 25078]]","[142.26246332,44.72500377]",64,[0],99
65,合同会社佐藤建設 第 16 支店,788,[98],[397],"[[2547, 20547]]","[141.26284956,43.10060049]",65,[0],44
66,吉田農林株式会社 第 96 支店,1100,[65],[566],"[[1582, 19582]]","[141.64404090,43.93875659]",66,[0],24
67,合同会社鈴木銀行 第 43 支店,806,[55],[115],"[[7528, 25528]]","[141.35592842,43.11942326]",67,[0],62
68,合同会社藤井建設 第 93 支店,745,[67],[164],"[[14553, 32553]]","[142.15606484,43.56026757]",68,[0],79
69,有限会社鈴木情報 第 92 支店,767,[92],[296],"[[2559, 20559]]","[145.12843272,43.19296828]",69,[0],21
70,株式会社岡本建設 第 65 支店,763,[70],[125],"[[4890, 22890]]","[140.66089855,41.90476486]",70,[0],19
71,山田食品株式会社 第 55 支店,1065,[98],[467],"[[7061, 25061]]","[139.92772512,42.35035312]",71,[0],77
72,藤原保険株式会社 第 65 支店,1058,[72],[838],"[[17978, 35978]]","[142.37137656,43.72463005]",72,[0],33
73,有限会社松田ガス 第 86 支店,926,[87],[571],"[[12159, 30159]]","[141.10663115,42.41275947]",73,[0],4
74,阿部建設有限会社 第 25 支店,830,[63],[382],"[[6108, 24108]]","[140.18827347,41.41188869]",74,[0],39
75,株式会社鈴木建設 第 39 支店,840,[99],[765],"[[3621, 21621]]","[142.16011859,42.53142211]",75,[0],67
76,山田情報有限会社 第 37 支店,648,[100],[716],"[[13549, 31549]]","[141.66467634,44.31384817]",76,[0],34
77,小林建設株式会社 第 76 支店,900,[83],[122],"[[2566, 20566]]","[144.70173969,43.80013819]",77,[0],34
78,合同会社坂本建設 第 64 支店,782,[70],[877],"[[10336, 28336]]","[141.96992667,43.02725659]",78,[0],42
79,有限会社木村ガス 第 65 支店,856,[60],[807],"[[3726, 21726]]","[145.30154387,44.175943200000006]",79,[0],78
80,株式会社伊藤水産 第 51 支店,942,[82],[226],"[[4439, 22439]]","[141.60100062,42.91003162]",80,[0],82
81,鈴木水産有限会社 第 76 支店,1103,[75],[379],"[[12195, 30195]]","[141.38808188,43.02741003]",81,[0],38
82,合同会社佐々木銀行 第 5 支店,875,[71],[481],"[[11967, 29967]]","[142.39551459,43.80825692]",82,[0],48
83,有限会社小川農林 第 62 支店,651,[89],[456],"[[379, 18379]]","[143.33263486,42.87151203]",83,[0],81
84,田中運輸合同会社 第 32 支店,738,[82],[255],"[[2592, 20592]]","[141.25308794,43.02297375]",84,[0],5
85,山本農林有限会社 第 96 支店,723,[69],[413],"[[6833, 24833]]","[143.74172998,43.72525446]",85,[0],91
86,山本銀行株式会社 第 52 支店,924,[75],[695],"[[11238, 29238]]","[141.70287813,45.39482757]",86,[0],8
87,佐藤食品合同会社 第 54 支店,1007,[99],[266],"[[6010, 24010]]","[141.04294340,43.16623388]",87,[0],40
88,青木運輸合同会社 第 86 支店,870,[64],[748],"[[6272, 24272]]","[140.02267738,41.59723846]",88,[0],69
89,田中印刷株式会社 第 23 支店,1133,[63],[388],"[[9892, 27892]]","[141.51505242,43.85349433]",89,[0],5
90,森建設株式会社 第 47 支店,774,[70],[518],"[[7058, 25058]]","[141.58627935,43.19961071]",90,[0],7
91,岡田ガス有限会社 第 71 支店,980,[93],[878],"[[15004, 33004]]","[143.85954061,43.80612679]",91,[0],78
92,山田印刷有限会社 第 90 支店,731,[56],[379],"[[9714, 27714]]","[142.26509204,43.85393106]",92,[0],37
93,株式会社山崎印刷 第 100 支店,1040,[63],[755],"[[4830, 22830]]","[141.34875032,43.01568702]",93,[0],78
94,佐藤食品株式会社 第 87 支店,808,[65],[851],"[[11641, 29641]]","[142.45268114,42.4685922]",94,[0],33
95,株式会社村上印刷 第 95 支店,1166,[74],[187],"[[818, 18818]]","[143.50853394,42.80160625]",95,[0],27
96,有限会社伊藤水産 第 48 支店,1183,[59],[893],"[[17198, 35198]]","[140.51188087,42.95030652]",96,[0],51
97,山口情報有限会社 第 12 支店,1108,[52],[343],"[[16903, 34903]]","[141.45468007,43.18117058]",97,[0],77
98,石川建設有限会社 第 57 支店,1126,[57],[448],"[[10983, 28983]]","[141.63048261,43.13693464]",98,[0],30
99,株式会社加藤ガス 第 85 支店,743,[55],[686],"[[1693, 19693]]","[141.54195640,42.62419826]",99,[0],43
